TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  129,    28.10615889,643574.22199096,   210.27316847,   165.00001055,
  130,    96.55307945,643168.60858220,   210.26549221,   185.00001053,
  131,   214.27653972,643062.10185894,   210.26347657,   185.00001053,
  132,   273.13826986,643273.44847822,   210.26747631,   185.00001053,
  133,   155.56913493,643298.12176875,   210.26794326,   230.00001054,
  134,   127.78456747,642980.15839514,   210.26192578,   230.00001052,
  135,   128.89228373,642614.17668924,   210.25499956,   230.00001051,
  136,   179.44614187,642341.18581762,   210.24983319,   230.00001050,
  137,   204.72307093,642204.69036292,   210.24725001,   230.00001049,
  138,   217.36153547,642136.44261670,   210.24595841,   230.00001049,
  139,   223.68076773,642102.31872448,   210.24531262,   230.00001049,
  140,   226.84038387,642085.25675949,   210.24498972,   230.00001049,
  141,   228.42019193,642157.72575812,   210.24636120,   185.00001049,
  142,   224.21009597,642306.46023855,   210.24917601,   185.00001050,
  143,   204.60504798,642745.32745966,   210.25748159,     0.00001051,
  144,   147.30252399,643378.76105138,   210.26946936,     0.00001054,
  145,    88.65126200,643803.47782822,   210.27750715,     0.00001056,
  146,    59.32563100,644069.83619777,   210.28254800,     0.00001057,
  147,    44.66281550,644257.01536322,   210.28609037,     0.00001057,
  148,    39.83140775,644409.10492707,   210.28896868,     0.00001058,
  149,    39.91570387,644219.64969011,   210.28538323,   185.00001057,
  150,    39.95785194,643697.42205253,   210.27550004,   185.00001055,
  151,    38.97892597,643092.50821486,   210.26405201,   230.00001053,
  152,    24.48946298,642459.75127693,   210.25207705,   185.00001050,
  153,    17.24473149,641868.87278929,   210.24089464,   185.00001048,
  154,   144.62236575,641494.23352672,   210.23380457,   185.00001047,
  155,   164.81118287,641304.21387659,   210.23020844,   230.00001046,
  156,   255.90559144,641314.50403286,   210.23040318,   185.00001046,
  157,   306.95279572,641661.64909211,   210.23697292,   185.00001047,
  158,   245.97639786,641990.92160264,   210.24320442,   185.00001049,
  159,   288.98819893,642287.85783902,   210.24882396,   185.00001050,
  160,   310.49409946,642700.92593833,   210.25664129,   185.00001051,
