TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,   147.00000000,639179.60000000,   210.19000000,     0.00000000,
    1,   147.00000000,639708.79998112,   210.20001514,     0.00001040,
    2,   220.50000000,640370.29994378,   210.21253406,     0.00001043,
    3,   257.25000000,641230.24990617,   210.22880867,     0.00001046,
    4,   275.62500000,642189.42486840,   210.24696111,     0.00001049,
    5,   284.81250000,643198.21233064,   210.26605247,     0.00001053,
    6,   215.90625000,643802.50604287,   210.27748876,   165.00001055,
    7,   190.45312500,643939.95287968,   210.28008995,   165.00001056,
    8,    95.22656250,643743.17627898,   210.27636594,   230.00001055,
    9,    47.61328125,643172.28795986,   210.26556185,   230.00001053,
   10,    23.80664062,642472.84378147,   210.25232483,   230.00001050,
   11,    53.40332031,641783.82167339,   210.23928504,   230.00001048,
   12,    68.20166016,641291.71060047,   210.22997181,   165.00001046,
   13,   116.60083008,641030.35504512,   210.22502564,   165.00001045,
   14,   140.80041504,640026.67724857,   210.20603099,   650.00001041,
   15,   248.40020752,638387.23833184,   210.17500451,   650.00001035,
   16,   302.20010376,637263.31885481,   210.15373427,   525.00001031,
   17,   266.60005188,636991.15909805,   210.14858363,   195.00001030,
   18,   230.80002594,637184.47920122,   210.15224223,   195.00001030,
   19,   139.40001297,637148.83923435,   210.15156774,   195.00001030,
   20,    93.70000648,636812.41923246,   210.14520097,   225.00001029,
   21,   159.35000324,636457.90921306,   210.13849185,   225.00001028,
   22,   265.67500162,636412.95418491,   210.13764107,   225.00001028,
   23,   318.83750081,637060.07665238,   210.14988790,     0.00001030,
   24,   232.91875041,638053.23786745,   210.16868353,     0.00001034,
   25,   263.49259757,638946.77825670,   210.18559384,     0.00001037,
   26,   278.86626843,639923.02417812,   210.20406934,     0.00001041,
   27,   139.70029740,640676.44395914,   210.21832786,     0.00001044,
   28,    70.34963772,641054.53380475,   210.22548323,     0.00001045,
   29,    36.00860793,641245.97860908,   210.22910633,     0.00001046,
   30,    19.23629998,641345.41940546,   210.23098826,     0.00001046,
