TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,     1.00000000,630725.20000000,   210.03000000,     0.00000000,
    1,     1.00000000,630728.79998198,   210.03006813,     0.00001006,
    2,     1.00000000,630732.39994593,   210.03013626,     0.00001006,
    3,     1.00000000,630735.99990988,   210.03020439,     0.00001006,
    4,     1.00000000,630739.59987383,   210.03027252,     0.00001006,
    5,     1.00000000,630743.19983778,   210.03034065,     0.00001006,
    6,     1.00000000,630746.79980173,   210.03040878,     0.00001006,
    7,     1.00000000,630750.39976568,   210.03047691,     0.00001006,
    8,     1.00000000,630456.99972963,   210.02492429,   165.00001005,
    9,     1.00000000,629866.59969358,   210.01375094,   165.00001003,
   10,    79.70000000,629417.85965762,   210.00525851,   165.00001001,
   11,   119.05000000,629181.60962157,   210.00078746,   165.00001000,
   12,   138.72500000,629051.60458570,   209.99786102,   165.00001000,
   13,   221.32750000,629105.69904966,   209.99916999,   165.00001000,
   14,   262.62875000,629382.82026353,   210.00459539,   165.00001001,
   15,   210.51437500,629640.47785258,   210.00947157,   165.00001002,
   16,   184.45718750,629757.42662883,   210.01168483,   165.00001002,
   17,   171.42859375,629804.02099910,   210.01256664,   165.00001003,
   18,   237.67929688,629946.41516614,   210.01526145,   165.00001003,
   19,   270.80464844,630267.68623176,   210.02134153,   165.00001004,
   20,   214.60232422,630547.41874647,   210.02663548,   165.00001005,
   21,   259.26616211,630806.38198552,   210.03153637,   165.00001006,
   22,   281.59808105,631185.93758693,   210.03871948,   165.00001008,
   23,   219.99904053,631791.81236954,   210.05018570,     0.00001010,
   24,   180.28952026,632512.33174262,   210.06382157,     0.00001013,
   25,    90.14476013,632999.11341085,   210.07303394,     0.00001015,
   26,    45.07238007,633242.50422673,   210.07764013,     0.00001016,
   27,    22.53619003,633364.19961643,   210.07994322,     0.00001016,
   28,    11.26809502,633425.04729304,   210.08109476,     0.00001016,
   29,     5.63404751,633455.47111311,   210.08167054,     0.00001016,
   30,     2.81702375,633470.68300490,   210.08195842,     0.00001016,
   31,    56.84851188,633578.08093224,   210.08399093,     0.00001017,
   32,    28.92425594,633381.47187777,   210.08027010,   195.00001016,
   33,    14.96212797,632758.46733208,   210.06847970,   195.00001014,
   34,     7.98106398,632097.76504121,   210.05597587,   195.00001011,
   35,    98.04053199,631586.60387745,   210.04630212,   195.00001009,
   36,   143.07026600,631318.60327759,   210.04123019,   195.00001008,
   37,   238.35013300,631303.15995965,   210.04093793,   195.00001008,
   38,   140.46006650,631283.01828227,   210.04055674,   195.00001008,
   39,    91.51503325,630998.57342544,   210.03517361,   195.00001007,
   40,    67.04251662,630581.97697887,   210.02728950,   195.00001005,
   41,    54.80625831,630450.30473766,   210.02479759,     0.00001005,
   42,    97.69312916,630724.80359912,   210.02999250,     0.00001006,
   43,   191.90156458,630949.07401166,   210.03423683,   165.00001007,
   44,   102.38578229,631181.79119992,   210.03864101,     0.00001008,
   45,    57.62789114,631172.81577582,   210.03847115,   165.00001008,
   46,    35.24894557,630745.99404554,   210.03039353,   165.00001006,
   47,    24.05947279,630204.74916239,   210.02015044,   195.00001004,
   48,   106.07973639,630087.99970260,   210.01794095,     0.00001004,
   49,   123.32986820,630500.93695474,   210.02575581,     0.00001005,
   50,   131.95493410,630960.44956265,   210.03445211,     0.00001007,
   51,    66.47746705,631317.62784829,   210.04121173,     0.00001008,
   52,    33.73873352,631498.01697288,   210.04462561,     0.00001009,
   53,    17.36936676,631590.01151714,   210.04636661,     0.00001009,
   54,     9.18468338,631637.80877104,   210.04727117,     0.00001009,
   55,     5.09234169,631366.50737996,   210.04213678,   165.00001008,
   56,     3.04617085,631084.15666618,   210.03679328,     0.00001007,
   57,     7.95808542,631103.96429138,   210.03716814,     0.00001007,
   58,    74.26904271,630954.97308579,   210.03434847,   165.00001007,
   59,   116.33452136,630704.05946498,   210.02959991,   165.00001006,
   60,   210.13226068,630643.69963627,   210.02845760,   195.00001006,
   61,   199.11613034,630678.34670386,   210.02911330,   195.00001006,
   62,   193.60806517,630683.25021968,   210.02920610,   195.00001006,
   63,   190.85403258,630673.28195939,   210.02901745,   195.00001006,
   64,   189.47701629,630655.87781105,   210.02868807,   195.00001006,
   65,   116.02350815,630503.77871871,   210.02580959,   195.00001005,
   66,    79.29675407,630504.35515461,   210.02582050,     0.00001005,
   67,    74.29837704,630780.82635422,   210.03105273,     0.00001006,
   68,    70.31418852,631041.12893610,   210.03597897,     0.00001007,
   69,    82.18209426,631315.62220869,   210.04117377,     0.00001008,
   70,   134.64604713,631705.91282682,   210.04856005,     0.00001010,
   71,   137.61302356,632195.97911776,   210.05783458,     0.00001012,
   72,   284.62651178,632956.01024488,   210.07221821,     0.00001014,
   73,   285.36825589,633982.00079020,   210.09163514,     0.00001018,
   74,   143.18412795,634753.39504431,   210.10623382,     0.00001021,
   75,    72.09206397,635140.89215291,   210.11356722,     0.00001023,
   76,    36.54603199,635336.44068897,   210.11726799,     0.00001023,
   77,    18.77301599,635436.01493834,   210.11915244,     0.00001024,
   78,     9.88650800,635487.60204456,   210.12012873,     0.00001024,
   79,     5.44325400,635164.19557922,   210.11400824,   195.00001023,
   80,     3.22162700,634477.79232810,   210.10101802,   195.00001020,
   81,    22.89581350,633822.80368446,   210.08862233,   195.00001018,
   82,    32.73290675,633220.93534441,   210.07723193,   195.00001015,
   83,    16.86645337,632608.21415592,   210.06563615,   195.00001013,
   84,   102.48322669,632121.04354376,   210.05641642,   195.00001011,
   85,   145.29161334,631865.03821949,   210.05157150,   195.00001010,
   86,   166.69580667,631724.61553916,   210.04891400,   195.00001010,
   87,    83.84790334,631473.59418067,   210.04416340,   195.00001009,
   88,    63.20895167,631036.29648355,   210.03588752,   195.00001007,
   89,   125.65447583,630674.25061682,   210.02903578,   195.00001006,
   90,   156.87723792,630480.80766548,   210.02537486,   195.00001005,
   91,   172.48861896,630371.66617182,   210.02330935,   195.00001005,
   92,   180.29430948,630304.67540702,   210.02204155,   195.00001004,
   93,   184.19715474,630609.76000642,   210.02781529,     0.00001006,
   94,    92.59857737,631107.99228800,   210.03724437,     0.00001007,
   95,    46.79928868,631358.90841078,   210.04199297,     0.00001008,
   96,    93.68964434,631611.78845385,   210.04677874,     0.00001009,
   97,   117.13482217,631991.27245719,   210.05396049,     0.00001011,
   98,   201.62241109,632565.03544080,   210.06481899,     0.00001013,
   99,   243.86620554,633366.91491439,   210.07999460,     0.00001016,
  100,   264.98810277,634282.85263270,   210.09732878,     0.00001019,
  101,   202.78405139,635124.84247359,   210.11326348,     0.00001023,
  102,   101.89202569,635673.25937551,   210.12364230,     0.00001025,
  103,    51.44601285,635598.26780780,   210.12222308,   195.00001024,
  104,    26.22300642,635036.07200550,   210.11158350,   195.00001022,
  105,    13.61150321,634405.77408589,   210.09965507,   195.00001020,
  106,     7.30575161,633795.42510785,   210.08810418,   165.00001018,
  107,    82.85287580,633363.71060046,   210.07993396,   165.00001016,
  108,   193.39143790,633266.95032867,   210.07810277,   165.00001016,
  109,   175.89571895,633337.66717447,   210.07944109,   165.00001016,
  110,   167.14785948,633361.14557908,   210.07988542,   165.00001016,
  111,    90.00892974,633230.02776292,   210.07740401,   165.00001015,
  112,    51.43946487,632890.63483661,   210.07098098,   165.00001014,
  113,   104.91973243,632578.08135541,   210.06506588,   165.00001013,
  114,   131.65986622,632409.92459653,   210.06188351,   165.00001012,
  115,   217.79493311,632444.94319900,   210.06254624,   165.00001013,
  116,   115.33246655,632450.57248195,   210.06265277,   165.00001013,
  117,    64.10123328,632179.55310520,   210.05752372,   165.00001012,
  118,    38.48561664,632067.20939859,   210.05539760,     0.00001011,
  119,    89.53280832,632297.64252709,   210.05975856,     0.00001012,
  120,   115.05640416,632665.90307296,   210.06672792,     0.00001013,
  121,   127.81820208,633103.07732752,   210.07500146,     0.00001015,
  122,   134.19910104,633574.70843643,   210.08392711,     0.00001017,
  123,    67.59955052,633937.94597257,   210.09080140,     0.00001018,
  124,    34.29977526,634121.36472219,   210.09427261,     0.00001019,
  125,    17.64988763,634214.87407854,   210.09604228,     0.00001019,
  126,     9.32494381,634263.42873848,   210.09696118,     0.00001019,
  127,     5.16247191,634289.50605000,   210.09745469,     0.00001019,
  128,     3.08123595,634007.34468730,   210.09211477,   165.00001018,
  129,     2.04061798,633422.56398772,   210.08104777,   165.00001016,
  130,     7.45530899,632845.65661958,   210.07012976,   165.00001014,
  131,    82.92765449,632414.34591726,   210.06196718,   165.00001012,
  132,   120.66382725,632186.81054781,   210.05766106,   165.00001012,
  133,    66.76691362,632227.18584484,   210.05842517,     0.00001012,
  134,    33.88345681,632408.35647500,   210.06185383,     0.00001012,
  135,    17.44172841,632500.74177206,   210.06360223,     0.00001013,
  136,     9.22086420,632548.73440236,   210.06451049,     0.00001013,
  137,     5.11043210,632574.53069905,   210.06499869,     0.00001013,
  138,     3.05521605,632292.22882937,   210.05965611,   165.00001012,
  139,    43.60260803,631782.21287616,   210.05000403,   165.00001010,
  140,   101.00130401,631448.49988149,   210.04368849,   165.00001009,
  141,   202.46565201,631400.74036606,   210.04278464,   165.00001009,
  142,   180.43282600,631495.95759004,   210.04458663,   165.00001009,
  143,   169.41641300,631531.68618396,   210.04526280,   165.00001009,
  144,   236.67320650,631668.64746283,   210.04785480,   165.00001010,
  145,   270.30160325,631987.20208414,   210.05388346,   165.00001011,
  146,   214.35080163,632265.57637671,   210.05915171,   165.00001012,
  147,   113.61040081,632261.90650452,   210.05908226,   165.00001012,
  148,   136.00520041,632117.21455038,   210.05634395,   165.00001011,
  149,   147.20260020,632032.98855503,   210.05474997,   165.00001011,
  150,   152.80130010,631978.99553908,   210.05372815,   165.00001011,
  151,    82.83565005,631809.14201306,   210.05051366,   165.00001010,
  152,    41.91782503,631736.69823192,   210.04914266,     0.00001010,
  153,   100.15891251,631695.43632320,   210.04836178,   165.00001010,
  154,   129.27945626,631514.42535056,   210.04493613,   165.00001009,
  155,   143.83972813,631412.03984617,   210.04299848,   165.00001009,
  156,   151.11986406,631348.96707590,   210.04180483,   165.00001008,
  157,   154.75993203,631305.55067271,   210.04098317,   165.00001008,
  158,   156.57996602,631271.96245283,   210.04034751,   165.00001008,
  159,   157.48998301,631243.28832482,   210.03980485,   165.00001008,
  160,   157.94499150,631217.07124275,   210.03930869,   165.00001008,
  161,   158.17249575,631192.08268364,   210.03883578,   165.00001008,
  162,   158.28624788,631464.70838602,   210.04399524,     0.00001009,
  163,   149.43312394,632018.60321878,   210.05447773,     0.00001011,
  164,   145.00656197,632548.59461708,   210.06450785,     0.00001013,
  165,   142.79328098,633066.63429787,   210.07431178,     0.00001015,
  166,    71.89664049,633453.07611987,   210.08162521,     0.00001016,
  167,    36.44832025,633351.09701263,   210.07969525,   165.00001016,
  168,    18.72416012,632856.40744078,   210.07033322,   165.00001014,
  169,    15.79708006,632324.54563672,   210.06026771,   165.00001012,
  170,    14.33354003,632081.78071644,   210.05567337,     0.00001011,
  171,     7.66677002,632121.38123829,   210.05642281,     0.00001011,
  172,     4.33338501,632142.98148076,   210.05683160,     0.00001011,
  173,     2.66669250,632155.58158376,   210.05707005,     0.00001011,
  174,     1.83334625,632163.68161723,   210.05722335,     0.00001011,
  175,     1.41667313,632169.53161551,   210.05733406,     0.00001011,
  176,     1.20833656,632174.25659663,   210.05742348,     0.00001011,
  177,     1.10416828,632178.41906874,   210.05750225,     0.00001012,
  178,     1.05208414,631885.30028655,   210.05195496,   165.00001010,
  179,    79.72604207,631436.70087730,   210.04346519,   165.00001009,
  180,   119.06302104,631200.52115461,   210.03899548,   165.00001008,
  181,   138.73151052,631070.55127498,   210.03653579,   165.00001007,
  182,   148.56575526,630993.68631732,   210.03508112,   165.00001007,
  183,   153.48287763,630943.37382042,   210.03412895,   165.00001007,
  184,   155.94143881,630906.33755390,   210.03342804,   165.00001007,
  185,   157.17071941,630875.93940236,   210.03285275,   165.00001007,
  186,   157.78535970,630848.86030852,   210.03234028,   165.00001006,
  187,   158.09267985,630823.44074332,   210.03185921,   165.00001006,
  188,   158.24633993,630798.85094287,   210.03139385,   165.00001006,
  189,    85.55816996,630643.69902460,   210.02845759,   165.00001006,
  190,    49.21408498,630292.28904745,   210.02180714,   165.00001004,
  191,    31.04204249,630139.75004064,   210.01892033,     0.00001004,
  192,    16.02102125,630224.46351911,   210.02052353,     0.00001004,
  193,     8.51051062,630268.62024032,   210.02135920,     0.00001004,
  194,     4.75525531,630292.49858291,   210.02181110,     0.00001004,
  195,    72.66762766,630431.85973589,   210.02444852,     0.00001005,
  196,   179.38881383,630885.56129419,   210.03303485,     0.00001007,
  197,   159.98440691,631496.43305537,   210.04459563,     0.00001009,
  198,    80.49220346,631929.29091765,   210.05278749,     0.00001011,
  199,    40.74610173,631850.51983077,   210.05129674,   165.00001010,
  200,    26.80805086,631378.11726920,   210.04235650,   165.00001008,
  201,    19.83902543,630868.08197018,   210.03270405,   165.00001007,
  202,    16.35451272,630339.23030245,   210.02269550,   165.00001005,
  203,    14.61225636,629800.97045056,   210.01250890,   165.00001003,
  204,    86.50612818,629685.98350679,   210.01033277,     0.00001002,
  205,   186.30806409,630177.04901687,   210.01962621,     0.00001004,
  206,   236.20903204,630640.57975370,   210.02839856,   165.00001006,
  207,   197.30451602,630772.90410387,   210.03090280,   195.00001006,
