DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/15/18,17:00,   276.33000000,   264.93021502,
01/15/18,18:00,   280.86000000,   263.27598251,
01/15/18,19:00,   273.85000000,   264.65724125,
01/15/18,20:00,   275.89000000,   261.93049563,
01/15/18,21:00,   285.68000000,   261.56162281,
01/15/18,22:00,   273.27000000,   266.14981141,
01/15/18,23:00,   268.01000000,   262.39403070,
01/16/18,00:00,   279.83000000,   257.95189035,
01/16/18,01:00,   281.74000000,   261.49307018,
01/16/18,02:00,     3.65000000,   264.19478509,
01/16/18,03:00,     1.02000000,   132.09739254,
01/16/18,04:00,     1.31000000,    66.04869627,
01/16/18,05:00,     0.00000000,    33.02434814,
01/16/18,06:00,     0.00000000,    16.51217407,
01/16/18,07:00,     3.21000000,     8.25608703,
01/16/18,08:00,   284.95000000,     4.12804352,
01/16/18,09:00,   293.71000000,   137.07714676,
01/16/18,10:00,   291.23000000,   207.82219838,
01/16/18,11:00,   289.19000000,   241.98572419,
01/16/18,12:00,   287.29000000,   258.07298709,
01/16/18,13:00,   293.56000000,   265.19036855,
01/16/18,14:00,   307.73000000,   271.80568427,
01/16/18,15:00,   309.93000000,   282.02121714,
01/16/18,16:00,   306.42000000,   288.20148357,
01/16/18,17:00,   315.62000000,   289.58049178,
01/16/18,18:00,   306.57000000,   294.75499589,
01/16/18,19:00,   316.20000000,   292.93037295,
01/16/18,20:00,   300.14000000,   296.71268647,
01/16/18,21:00,   302.62000000,   290.77459324,
01/16/18,22:00,   299.26000000,   289.01454662,
01/16/18,23:00,   299.55000000,   286.49652331,
01/17/18,00:00,   300.14000000,   285.37888665,
01/17/18,01:00,   301.01000000,   285.10769333,
01/17/18,02:00,     2.77000000,   285.39622166,
01/17/18,03:00,     1.46000000,   142.69811083,
01/17/18,04:00,     3.65000000,    71.34905542,
01/17/18,05:00,     3.51000000,    35.67452771,
01/17/18,06:00,     2.63000000,    17.83726385,
01/17/18,07:00,   293.42000000,     8.91863193,
01/17/18,08:00,   293.42000000,   143.60156596,
01/17/18,09:00,   289.04000000,   210.94303298,
01/17/18,10:00,   285.68000000,   242.47851649,
01/17/18,11:00,   293.86000000,   256.60825825,
01/17/18,12:00,   286.85000000,   267.66087912,
01/17/18,13:00,   295.17000000,   269.76981456,
01/17/18,14:00,   285.53000000,   274.88028228,
01/17/18,15:00,   294.74000000,   272.73601614,
01/17/18,16:00,   300.14000000,   276.15375807,
01/17/18,17:00,   284.51000000,   280.49512904,
01/17/18,18:00,   286.12000000,   275.04618952,
01/17/18,19:00,   282.61000000,   273.10659476,
01/17/18,20:00,   291.08000000,   270.42567238,
01/17/18,21:00,   293.85000000,   273.21433619,
01/17/18,22:00,   285.97000000,   275.95904309,
01/17/18,23:00,   281.15000000,   273.48989655,
01/18/18,00:00,   291.52000000,   269.90557327,
01/18/18,01:00,   271.95000000,   273.16878664,
01/18/18,02:00,     0.44000000,   265.26001832,
01/18/18,03:00,     3.66000000,   132.63000916,
01/18/18,04:00,     0.00000000,    66.31500458,
01/18/18,05:00,     0.29000000,    33.15750229,
01/18/18,06:00,     1.02000000,    16.57875114,
01/18/18,07:00,     1.02000000,     8.28937557,
01/18/18,08:00,   276.63000000,     4.14468779,
01/18/18,09:00,   284.07000000,   133.02946889,
01/18/18,10:00,   294.30000000,   201.09885945,
01/18/18,11:00,   289.62000000,   240.12067972,
01/18/18,12:00,   294.00000000,   257.35008986,
01/18/18,13:00,   288.16000000,   268.10004493,
01/18/18,14:00,   291.37000000,   270.62802247,
01/18/18,15:00,   294.59000000,   273.45688623,
01/18/18,16:00,   294.15000000,   276.44106812,
01/18/18,17:00,   293.42000000,   277.71865906,
01/18/18,18:00,   268.45000000,   278.00157953,
01/18/18,19:00,   271.95000000,   265.97016476,
01/18/18,20:00,   273.85000000,   261.66070738,
01/18/18,21:00,   268.59000000,   260.43222869,
01/18/18,22:00,   267.28000000,   257.25373935,
01/18/18,23:00,   281.16000000,   255.02586967,
01/19/18,00:00,   285.38000000,   260.67843484,
01/19/18,01:00,   279.69000000,   265.56196742,
01/19/18,02:00,   272.24000000,   265.22985871,
01/19/18,03:00,     1.02000000,   261.43192935,
01/19/18,04:00,     2.34000000,   130.71596468,
01/19/18,05:00,     3.80000000,    65.35798234,
01/19/18,06:00,     0.00000000,    32.67899117,
01/19/18,07:00,     0.00000000,    16.33949558,
01/19/18,08:00,     2.19000000,     8.16974779,
01/19/18,09:00,   293.86000000,     4.08487390,
01/19/18,10:00,   293.42000000,   141.39918695,
01/19/18,11:00,   292.54000000,   209.84184347,
01/19/18,12:00,   272.10000000,   243.63417174,
01/19/18,13:00,   268.59000000,   250.56583587,
01/19/18,14:00,   270.49000000,   252.32054293,
01/19/18,15:00,   274.00000000,   254.12414647,
01/19/18,16:00,   275.89000000,   256.73707323,
01/19/18,17:00,   272.10000000,   258.96491162,
01/19/18,18:00,   278.96000000,   258.23120581,
01/19/18,19:00,   270.34000000,   261.20860290,
01/19/18,20:00,   276.77000000,   258.49505145,
01/19/18,21:00,     1.75000000,   260.27290073,
01/19/18,22:00,     0.15000000,   130.13645036,
01/19/18,23:00,   282.18000000,    65.06822518,
01/20/18,00:00,   277.94000000,   166.19686259,
01/20/18,01:00,   271.51000000,   214.69418130,
01/20/18,02:00,   285.68000000,   235.80821565,
01/20/18,03:00,     3.21000000,   253.27310782,
01/20/18,04:00,     3.21000000,   126.63655391,
01/20/18,05:00,     3.07000000,    63.31827696,
01/20/18,06:00,     0.29000000,    31.65913848,
01/20/18,07:00,     2.63000000,    15.82956924,
01/20/18,08:00,   264.79000000,     7.91478462,
01/20/18,09:00,   272.54000000,   129.14251731,
01/20/18,10:00,   269.91000000,   193.53450865,
01/20/18,11:00,   281.44000000,   224.44837933,
01/20/18,12:00,   210.75000000,   245.52618966,
01/20/18,13:00,   269.03000000,   221.60371983,
01/20/18,14:00,   264.36000000,   238.05398492,
01/20/18,15:00,   272.10000000,   244.00249246,
01/20/18,16:00,   272.24000000,   250.74999623,
01/20/18,17:00,   268.59000000,   254.19199811,
01/20/18,18:00,   270.34000000,   254.13362406,
01/20/18,19:00,   263.19000000,   254.95756203,
01/20/18,20:00,   268.30000000,   251.88390601,
01/20/18,21:00,   271.07000000,   252.83820301,
01/20/18,22:00,   273.12000000,   254.66572650,
01/20/18,23:00,   267.42000000,   256.57886325,
01/21/18,00:00,   272.83000000,   254.75668163,
01/21/18,01:00,     0.00000000,   256.48296581,
01/21/18,02:00,     0.00000000,   128.24148291,
01/21/18,03:00,     0.00000000,    64.12074145,
01/21/18,04:00,     0.00000000,    32.06037073,
01/21/18,05:00,     0.00000000,    16.03018536,
01/21/18,06:00,     0.00000000,     8.01509268,
01/21/18,07:00,     1.75000000,     4.00754634,
01/21/18,08:00,     0.00000000,     2.00377317,
01/21/18,09:00,   280.86000000,     1.00188659,
01/21/18,10:00,   216.30000000,   133.52019329,
01/21/18,11:00,   216.16000000,   168.30634665,
01/21/18,12:00,   277.50000000,   185.63117332,
01/21/18,13:00,   275.89000000,   224.19683666,
01/21/18,14:00,   267.28000000,   242.69479333,
01/21/18,15:00,   272.83000000,   247.74639667,
01/21/18,16:00,   279.84000000,   252.97782333,
01/21/18,17:00,   271.95000000,   259.01091167,
01/21/18,18:00,   211.19000000,   258.18108083,
01/21/18,19:00,   207.54000000,   228.14566542,
01/21/18,20:00,   211.92000000,   211.34858271,
01/21/18,21:00,   271.51000000,   205.08529135,
01/21/18,22:00,   271.66000000,   231.00377068,
01/21/18,23:00,   268.15000000,   244.03613534,
01/22/18,00:00,     0.00000000,   248.84119267,
01/22/18,01:00,     0.58000000,   124.42059633,
01/22/18,02:00,     0.00000000,    62.21029817,
01/22/18,03:00,     3.36000000,    31.10514908,
01/22/18,04:00,     1.02000000,    15.55257454,
01/22/18,05:00,     3.51000000,     7.77628727,
01/22/18,06:00,     2.63000000,     3.88814364,
01/22/18,07:00,    89.09000000,     1.94407182,
01/22/18,08:00,   212.80000000,    40.50341091,
01/22/18,09:00,   233.83000000,   120.09170545,
01/22/18,10:00,   282.17000000,   170.13797773,
01/22/18,11:00,   289.19000000,   218.72686386,
01/22/18,12:00,   292.54000000,   246.44355693,
01/22/18,13:00,   286.26000000,   261.93502847,
01/22/18,14:00,   269.32000000,   266.61926423,
01/22/18,15:00,   273.85000000,   260.70313212,
01/22/18,16:00,   265.08000000,   259.95344106,
01/22/18,17:00,   270.35000000,   255.30322053,
01/22/18,18:00,   265.96000000,   255.54723526,
01/22/18,19:00,   272.83000000,   253.52911763,
01/22/18,20:00,   260.56000000,   255.86918382,
01/22/18,21:00,   270.34000000,   251.05759191,
01/22/18,22:00,   273.70000000,   253.41954595,
01/22/18,23:00,   270.20000000,   256.23852298,
01/23/18,00:00,   273.70000000,   255.94176149,
01/23/18,01:00,   270.78000000,   257.49963074,
01/23/18,02:00,     1.31000000,   256.85506537,
01/23/18,03:00,     0.00000000,   128.42753269,
01/23/18,04:00,     0.00000000,    64.21376634,
01/23/18,05:00,     0.00000000,    32.10688317,
01/23/18,06:00,     2.19000000,    16.05344159,
01/23/18,07:00,   269.61000000,     8.02672079,
01/23/18,08:00,   271.51000000,   131.54823540,
01/23/18,09:00,   280.86000000,   194.23524270,
01/23/18,10:00,   277.79000000,   230.13687135,
01/23/18,11:00,   277.79000000,   246.59106067,
01/23/18,12:00,   278.96000000,   254.81815534,
01/23/18,13:00,   277.50000000,   259.50207767,
01/23/18,14:00,   272.54000000,   261.13228883,
01/23/18,15:00,   277.21000000,   259.52939442,
01/23/18,16:00,   277.79000000,   261.00457221,
01/23/18,17:00,   273.41000000,   262.02491110,
01/23/18,18:00,   281.44000000,   260.39983055,
01/23/18,19:00,   275.31000000,   263.50191528,
01/23/18,20:00,   273.70000000,   262.06458264,
01/23/18,21:00,   271.95000000,   260.56104132,
01/23/18,22:00,   269.03000000,   258.95614566,
01/23/18,23:00,   272.68000000,   256.73019783,
