DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/16/18,20:00,   278.68212854,826132.76011653,   213.72809917,   177.00001746,
01/16/18,21:00,   271.60789559,826480.68209715,   213.73468361,   180.00001747,
01/16/18,22:00,   269.93165215,826807.45322032,   213.74086777,   180.00001748,
01/16/18,23:00,   267.55362775,827126.92666130,   213.74691383,   180.00001749,
01/17/18,00:00,   266.83449529,827437.22521968,   213.75278625,   182.00001751,
01/17/18,01:00,   266.93098280,827748.20301724,   213.75867152,   179.00001752,
01/17/18,02:00,   246.82790877,828023.16895900,   213.76387526,   182.00001753,
01/17/18,03:00,    94.93381107,827986.73999181,   213.76318584,   180.00001753,
01/17/18,04:00,    36.51300426,827571.74419618,   213.75533202,   182.00001751,
01/17/18,05:00,    14.04346318,826998.54577465,   213.74448421,   187.00001749,
01/17/18,06:00,     5.40133199,826369.34634296,   213.73257658,   182.00001747,
01/17/18,07:00,    22.10569692,825763.65893217,   213.72111391,   182.00001744,
01/17/18,08:00,   168.72828343,825453.76003410,   213.71524905,   181.00001743,
01/17/18,09:00,   224.79477055,825512.30146843,   213.71635695,   180.00001743,
01/17/18,10:00,   243.82038867,825698.80869247,   213.71988661,   185.00001744,
01/17/18,11:00,   249.99333411,825925.27333051,   213.72417247,   183.00001745,
01/17/18,12:00,   256.11696696,826181.07180968,   213.72901347,   181.00001746,
01/17/18,13:00,   255.43163345,826453.85922738,   213.73417599,   179.00001747,
01/17/18,14:00,   258.79435133,826731.46593696,   213.73942971,   181.00001748,
01/17/18,15:00,   255.73986589,826943.02746512,   213.74343353,   216.00001749,
01/17/18,16:00,   259.77844073,827159.96035415,   213.74753899,   179.00001750,
01/17/18,17:00,   262.98596182,827456.53621579,   213.75315171,   179.00001751,
01/17/18,18:00,   256.17608531,827744.82783757,   213.75860764,   180.00001752,
01/17/18,19:00,   254.13591743,828011.78937927,   213.76365990,   182.00001753,
01/17/18,20:00,   252.14992978,828269.70384113,   213.76854095,   181.00001754,
01/17/18,21:00,   256.01671915,828538.20374600,   213.77362233,   178.00001755,
01/17/18,22:00,   258.36276890,828744.08676130,   213.77751867,   222.00001756,
01/17/18,23:00,   254.78966496,828942.36107918,   213.78127103,   181.00001756,
01/18/18,00:00,   251.67163268,829205.99135162,   213.78626025,   179.00001757,
01/18/18,01:00,   254.42849718,829467.17152225,   213.79120309,   182.00001758,
01/18/18,02:00,   226.84099892,829680.05655190,   213.79523196,   181.00001759,
01/18/18,03:00,    87.24653804,829593.81405507,   213.79359981,   181.00001759,
01/18/18,04:00,    33.55636079,829165.05920955,   213.78548560,   178.00001757,
01/18/18,05:00,    12.90629261,828606.09192258,   213.77490711,   179.00001755,
01/18/18,06:00,     4.96395870,827993.85831162,   213.76332056,   179.00001753,
01/18/18,07:00,     1.90921488,827361.82996084,   213.75135939,   179.00001750,
01/18/18,08:00,    19.50978265,826754.18409330,   213.73985965,   180.00001748,
01/18/18,09:00,   158.26265486,826422.57441785,   213.73358392,   182.00001747,
01/18/18,10:00,   216.27842879,826446.94830563,   213.73404520,   179.00001747,
01/18/18,11:00,   243.58619569,826628.50456664,   213.73748116,   180.00001747,
01/18/18,12:00,   251.97159834,826872.50853292,   213.74209895,   180.00001748,
01/18/18,13:00,   257.04870705,827131.74501955,   213.74700502,   185.00001749,
01/18/18,14:00,   256.19067964,827015.17585270,   213.74479894,   393.00001749,
01/18/18,15:00,   257.77753832,826903.51858217,   213.74268582,   183.00001749,
01/18/18,16:00,   260.03686859,826852.78445146,   213.74172567,   363.00001748,
01/18/18,17:00,   260.62155715,827010.56955482,   213.74471176,    70.00001749,
01/18/18,18:00,   258.60200660,827518.57190678,   213.75432574,   167.00001751,
01/18/18,19:00,   245.04438715,827820.33535249,   213.76003663,   169.00001752,
01/18/18,20:00,   241.79976429,828090.05476210,   213.76514108,   168.00001753,
01/18/18,21:00,   241.15174011,828349.16740705,   213.77004480,   171.00001754,
01/18/18,22:00,   238.05741543,828601.54382398,   213.77482104,   168.00001755,
01/18/18,23:00,   237.21872901,828846.84082061,   213.77946330,   171.00001756,
01/19/18,00:00,   244.46066500,829098.26366673,   213.78422149,   171.00001757,
01/19/18,01:00,   249.02560192,829370.93888398,   213.78938189,   171.00001758,
01/19/18,02:00,   247.25353151,829650.44126087,   213.79467148,   170.00001759,
01/19/18,03:00,   224.23286597,829887.11671286,   213.79915058,   170.00001760,
01/19/18,04:00,    86.24340999,829830.37394644,   213.79807672,   172.00001760,
01/19/18,05:00,    33.17054230,829431.51899715,   213.79052837,   169.00001758,
01/19/18,06:00,    12.75790089,828903.99013180,   213.78054485,   170.00001756,
01/19/18,07:00,     4.90688496,828325.58668327,   213.76959854,   169.00001754,
01/19/18,08:00,     1.88726344,827727.61608738,   213.75828191,   170.00001752,
01/19/18,09:00,    20.78696286,827158.22963161,   213.74750624,   169.00001750,
01/19/18,10:00,   168.45089341,826827.45771002,   213.74124636,   204.00001748,
01/19/18,11:00,   224.94923593,826860.57787971,   213.74187316,   171.00001748,
01/19/18,12:00,   244.69459843,827092.13671846,   213.74625543,   170.00001749,
01/19/18,13:00,   241.35109940,827360.41891164,   213.75133268,   167.00001750,
01/19/18,14:00,   238.37360746,827617.32332096,   213.75619461,   170.00001751,
01/19/18,15:00,   238.48270287,827858.26461653,   213.76075444,   173.00001752,
01/19/18,16:00,   240.49898572,828097.63159274,   213.76528447,   173.00001753,
01/19/18,17:00,   241.97884835,828346.89163083,   213.77000173,   171.00001754,
01/19/18,18:00,   241.08034167,828597.19810981,   213.77473880,   173.00001755,
01/19/18,19:00,   243.67460834,828848.75695681,   213.77949956,   172.00001756,
01/19/18,20:00,   240.64988782,829104.94098658,   213.78434786,   170.00001757,
01/19/18,21:00,   224.05905685,829331.21702370,   213.78863015,   169.00001758,
01/19/18,22:00,    86.17656033,829283.04107150,   213.78771842,   168.00001758,
01/19/18,23:00,    52.33441551,828923.96076493,   213.78092280,   170.00001756,
01/20/18,00:00,   173.32892904,828718.15472173,   213.77702791,   170.00001755,
01/20/18,01:00,   217.17091886,828814.45438485,   213.77885039,   167.00001756,
01/20/18,02:00,   231.73208418,829014.07972712,   213.78262831,   171.00001757,
01/20/18,03:00,   225.28289391,829219.30662431,   213.78651224,   172.00001757,
01/20/18,04:00,    86.64726689,829163.38085060,   213.78545384,   171.00001757,
01/20/18,05:00,    33.32587188,828765.53243699,   213.77792454,   170.00001756,
01/20/18,06:00,    12.81764303,828234.79070067,   213.76788022,   171.00001754,
01/20/18,07:00,     4.92986270,827645.73614778,   213.75673233,   174.00001751,
01/20/18,08:00,    19.78812412,827072.82846098,   213.74589002,   169.00001749,
01/20/18,09:00,   151.32527081,826704.03250885,   213.73891053,   207.00001748,
01/20/18,10:00,   205.76812724,826666.40056233,   213.73819835,   171.00001748,
01/20/18,11:00,   226.19433355,826826.53292904,   213.74122886,   172.00001748,
01/20/18,12:00,   234.79821290,827040.71944976,   213.74528235,   170.00001749,
01/20/18,13:00,   205.53405112,827212.31746220,   213.74852985,   175.00001750,
01/20/18,14:00,   224.37024274,827361.54512834,   213.75135400,   172.00001750,
01/20/18,15:00,   229.75327798,827559.76740279,   213.75510536,   172.00001751,
01/20/18,16:00,   235.87678384,827775.10145106,   213.75918057,   174.00001752,
01/20/18,17:00,   238.03275532,828003.53855858,   213.76350376,   173.00001753,
01/20/18,18:00,   237.08612897,828237.75248728,   213.76793627,   172.00001754,
01/20/18,19:00,   237.10258037,828475.69210086,   213.77243929,   170.00001754,
01/20/18,20:00,   233.75569245,828704.03692879,   213.77676073,   174.00001755,
01/20/18,21:00,   235.34410479,828927.41650076,   213.78098820,   171.00001756,
01/20/18,22:00,   237.55478646,829163.03444185,   213.78544728,   171.00001757,
01/20/18,23:00,   239.05047171,829401.72384314,   213.78996449,   173.00001758,
01/21/18,00:00,   237.05225066,829637.70867996,   213.79443052,   172.00001759,
01/21/18,01:00,   220.61745795,829840.51409216,   213.79826862,   173.00001760,
01/21/18,02:00,    84.85286844,829772.96061621,   213.79699017,   170.00001759,
01/21/18,03:00,    32.63571863,829368.84000954,   213.78934217,   172.00001758,
01/21/18,04:00,    12.55219947,828832.77819876,   213.77919717,   171.00001756,
01/21/18,05:00,     4.82776903,828252.06207881,   213.76820708,   169.00001754,
01/21/18,06:00,     1.85683424,827650.29430151,   213.75681859,   172.00001751,
01/21/18,07:00,     0.71416702,827032.12204075,   213.74511964,   174.00001749,
01/21/18,08:00,     0.27467962,826720.70190186,   213.73922600,     0.00001748,
01/21/18,09:00,    19.19673832,826444.35039143,   213.73399603,   173.00001747,
01/21/18,10:00,   155.29493012,826137.43533158,   213.72818765,   172.00001746,
01/21/18,11:00,   173.90975774,826110.80370703,   213.72768364,   172.00001746,
01/21/18,12:00,   185.57309144,826136.87277279,   213.72817700,   173.00001746,
01/21/18,13:00,   221.97721209,826245.86325636,   213.73023965,   174.00001746,
01/21/18,14:00,   234.49544311,826442.91397280,   213.73396885,   173.00001747,
01/21/18,15:00,   235.22719350,826665.61465578,   213.73818347,   173.00001748,
01/21/18,16:00,   238.93049750,826903.49843650,   213.74268544,   169.00001749,
01/21/18,17:00,   243.42750673,827161.54278121,   213.74756894,   170.00001750,
01/21/18,18:00,   236.50248720,827408.01670736,   213.75223347,   173.00001750,
01/21/18,19:00,   201.83125662,827516.61738313,   213.75428875,   205.00001751,
01/21/18,20:00,   186.91656024,827478.36339029,   213.75356479,   205.00001751,
01/21/18,21:00,   187.91417701,827474.45865444,   213.75349089,   172.00001751,
01/21/18,22:00,   219.43338347,827590.28420008,   213.75568290,   171.00001751,
01/21/18,23:00,   231.37260133,827782.53490952,   213.75932125,   173.00001752,
01/22/18,00:00,   215.98857744,827966.78496841,   213.76280819,   172.00001753,
01/22/18,01:00,    83.07252978,827889.49489821,   213.76134547,   170.00001752,
01/22/18,02:00,    31.95097299,827486.33714021,   213.75371569,   169.00001751,
01/22/18,03:00,    12.28883577,826959.36873296,   213.74374278,   168.00001749,
01/22/18,04:00,     4.72647529,826385.19623011,   213.73287654,   168.00001747,
01/22/18,05:00,     1.81787511,825784.97599815,   213.72151734,   172.00001744,
01/22/18,06:00,     0.69918274,825170.30663963,   213.70988468,   172.00001742,
01/22/18,07:00,     5.05101644,824559.65693532,   213.69832810,   173.00001740,
01/22/18,08:00,    49.43016786,824038.52300430,   213.68846561,   171.00001738,
01/22/18,09:00,   132.68291841,823745.32649685,   213.68291685,   174.00001737,
01/22/18,10:00,   179.29424554,823678.68532945,   213.68165566,   175.00001736,
01/22/18,11:00,   222.99383290,823771.00380817,   213.68340280,   176.00001737,
01/22/18,12:00,   243.71792804,823979.28491531,   213.68734453,   175.00001737,
01/22/18,13:00,   252.96988001,824246.92290712,   213.69240959,   173.00001738,
01/22/18,14:00,   251.98424616,824527.64027148,   213.69772219,   176.00001740,
01/22/18,15:00,   243.09527160,824790.58334094,   213.70269840,   173.00001741,
01/22/18,16:00,   241.38811215,825034.45336886,   213.70731365,   176.00001741,
01/22/18,17:00,   236.54409698,825264.73128243,   213.71167167,   174.00001742,
01/22/18,18:00,   237.10601422,825496.30141993,   213.71605415,   171.00001743,
01/22/18,19:00,   235.54181316,825727.86744657,   213.72043655,   173.00001744,
01/22/18,20:00,   237.61292045,825963.94590407,   213.72490435,   169.00001745,
01/22/18,21:00,   232.73052325,826196.76403995,   213.72931045,   172.00001746,
01/22/18,22:00,   236.21155510,826419.85971809,   213.73353255,   173.00001747,
01/22/18,23:00,   239.04421350,826650.72003881,   213.73790159,   174.00001748,
01/23/18,00:00,   238.56677442,826885.81975394,   213.74235087,   173.00001748,
01/23/18,01:00,   239.99334401,827122.62790404,   213.74683247,   174.00001749,
01/23/18,02:00,   220.67791693,827329.03611089,   213.75073876,   172.00001750,
01/23/18,03:00,    84.87612189,827259.83331758,   213.74942909,   172.00001750,
01/23/18,04:00,    32.64466227,826852.17066594,   213.74171405,   172.00001748,
01/23/18,05:00,    12.55563933,826308.93114582,   213.73143322,   175.00001746,
01/23/18,06:00,     4.82909205,825717.42359949,   213.72023890,   171.00001744,
01/23/18,07:00,    20.10901233,825146.71212474,   213.70943816,   171.00001742,
01/23/18,08:00,   153.88935859,824837.10912968,   213.70357890,   175.00001741,
01/23/18,09:00,   207.03337638,824856.76998998,   213.70395098,   175.00001741,
01/23/18,10:00,   232.12789092,825017.26020843,   213.70698827,   175.00001741,
01/23/18,11:00,   240.17614266,825242.80740610,   213.71125676,   172.00001742,
01/23/18,12:00,   243.35892410,825490.37046333,   213.71594191,   174.00001743,
01/23/18,13:00,   245.08523235,825746.76988221,   213.72079428,   172.00001744,
01/23/18,14:00,   244.61653552,826052.23300139,   213.72657519,   148.00001745,
01/23/18,15:00,   242.19407520,826397.49203769,   213.73310924,   147.00001747,
01/23/18,16:00,   243.74481354,826746.58197442,   213.73971578,   145.00001748,
01/23/18,17:00,   244.31737444,827049.09385000,   213.74544084,   175.00001749,
01/23/18,18:00,   242.84904401,827312.19334031,   213.75042001,   166.00001750,
01/23/18,19:00,   246.02104001,827587.35942851,   213.75562754,   170.00001751,
01/23/18,20:00,   243.91916154,827855.45172816,   213.76070121,   171.00001752,
01/23/18,21:00,   242.13925444,828112.95681368,   213.76557450,   172.00001753,
01/23/18,22:00,   240.32275940,828360.38837529,   213.77025716,   173.00001754,
01/23/18,23:00,   238.37131515,828604.63764649,   213.77487959,   170.00001755,
01/24/18,00:00,   239.73386737,828847.82691174,   213.77948196,   173.00001756,
01/24/18,01:00,   223.01729514,829369.37894121,   213.78935236,     0.00001758,
01/24/18,02:00,    85.77588275,829925.20659824,   213.79987143,     0.00001760,
01/24/18,03:00,    32.99072413,830138.98642741,   213.80391723,     0.00001761,
01/24/18,04:00,    12.68874005,830221.20939970,   213.80547330,     0.00001761,
01/24/18,05:00,     4.88028464,829871.23358083,   213.79884999,   212.00001760,
01/24/18,06:00,     1.87703255,829109.39668846,   213.78443219,   218.00001757,
01/24/18,07:00,     0.72193560,828332.87476783,   213.76973646,   216.00001754,
01/24/18,08:00,     0.27766754,827242.07399021,   213.74909300,   391.00001750,
01/24/18,09:00,    18.53306444,825934.93324495,   213.72435528,   354.00001745,
01/24/18,10:00,   136.11198632,825576.09427367,   213.71756424,     0.00001744,
01/24/18,11:00,    70.41813320,825641.84842596,   213.71880864,   170.00001744,
01/24/18,12:00,   171.98175123,825404.96815534,   213.71432567,   204.00001743,
01/24/18,13:00,   213.27344278,825425.22744179,   213.71470907,   170.00001743,
01/24/18,14:00,   227.31186261,825280.48092895,   213.71196974,   351.00001742,
01/24/18,15:00,   233.94390100,824841.74124065,   213.70366656,   354.00001741,
01/24/18,16:00,   237.79448500,824414.67027264,   213.69558422,   355.00001739,
01/24/18,17:00,   236.99374039,824329.68901573,   213.69397595,   167.00001739,
01/24/18,18:00,   238.98615399,824621.25276299,   213.69949381,   147.00001740,
