DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/20/18,19:00,   263.19000000,   237.10258037,
01/20/18,20:00,   268.30000000,   233.75569245,
01/20/18,21:00,   271.07000000,   235.34410479,
01/20/18,22:00,   273.12000000,   237.55478646,
01/20/18,23:00,   267.42000000,   239.05047171,
01/21/18,00:00,   272.83000000,   237.05225066,
01/21/18,01:00,     0.00000000,   220.61745795,
01/21/18,02:00,     0.00000000,    84.85286844,
01/21/18,03:00,     0.00000000,    32.63571863,
01/21/18,04:00,     0.00000000,    12.55219947,
01/21/18,05:00,     0.00000000,     4.82776903,
01/21/18,06:00,     0.00000000,     1.85683424,
01/21/18,07:00,     1.75000000,     0.71416702,
01/21/18,08:00,     0.00000000,     0.27467962,
01/21/18,09:00,   280.86000000,    19.19673832,
01/21/18,10:00,   216.30000000,   155.29493012,
01/21/18,11:00,   216.16000000,   173.90975774,
01/21/18,12:00,   277.50000000,   185.57309144,
01/21/18,13:00,   275.89000000,   221.97721209,
01/21/18,14:00,   267.28000000,   234.49544311,
01/21/18,15:00,   272.83000000,   235.22719350,
01/21/18,16:00,   279.84000000,   238.93049750,
01/21/18,17:00,   271.95000000,   243.42750673,
01/21/18,18:00,   211.19000000,   236.50248720,
01/21/18,19:00,   207.54000000,   201.83125662,
01/21/18,20:00,   211.92000000,   186.91656024,
01/21/18,21:00,   271.51000000,   187.91417701,
01/21/18,22:00,   271.66000000,   219.43338347,
01/21/18,23:00,   268.15000000,   231.37260133,
01/22/18,00:00,     0.00000000,   215.98857744,
01/22/18,01:00,     0.58000000,    83.07252978,
01/22/18,02:00,     0.00000000,    31.95097299,
01/22/18,03:00,     3.36000000,    12.28883577,
01/22/18,04:00,     1.02000000,     4.72647529,
01/22/18,05:00,     3.51000000,     1.81787511,
01/22/18,06:00,     2.63000000,     0.69918274,
01/22/18,07:00,    89.09000000,     5.05101644,
01/22/18,08:00,   212.80000000,    49.43016786,
01/22/18,09:00,   233.83000000,   132.68291841,
01/22/18,10:00,   282.17000000,   179.29424554,
01/22/18,11:00,   289.19000000,   222.99383290,
01/22/18,12:00,   292.54000000,   243.71792804,
01/22/18,13:00,   286.26000000,   252.96988001,
01/22/18,14:00,   269.32000000,   251.98424616,
01/22/18,15:00,   273.85000000,   243.09527160,
01/22/18,16:00,   265.08000000,   241.38811215,
01/22/18,17:00,   270.35000000,   236.54409698,
01/22/18,18:00,   265.96000000,   237.10601422,
01/22/18,19:00,   272.83000000,   235.54181316,
01/22/18,20:00,   260.56000000,   237.61292045,
01/22/18,21:00,   270.34000000,   232.73052325,
01/22/18,22:00,   273.70000000,   236.21155510,
01/22/18,23:00,   270.20000000,   239.04421350,
01/23/18,00:00,   273.70000000,   238.56677442,
01/23/18,01:00,   270.78000000,   239.99334401,
01/23/18,02:00,     1.31000000,   220.67791693,
01/23/18,03:00,     0.00000000,    84.87612189,
01/23/18,04:00,     0.00000000,    32.64466227,
01/23/18,05:00,     0.00000000,    12.55563933,
01/23/18,06:00,     2.19000000,     4.82909205,
01/23/18,07:00,   269.61000000,    20.10901233,
01/23/18,08:00,   271.51000000,   153.88935859,
01/23/18,09:00,   280.86000000,   207.03337638,
01/23/18,10:00,   277.79000000,   232.12789092,
01/23/18,11:00,   277.79000000,   240.17614266,
01/23/18,12:00,   278.96000000,   243.35892410,
01/23/18,13:00,   277.50000000,   245.08523235,
01/23/18,14:00,   272.54000000,   244.61653552,
01/23/18,15:00,   277.21000000,   242.19407520,
01/23/18,16:00,   277.79000000,   243.74481354,
01/23/18,17:00,   273.41000000,   244.31737444,
01/23/18,18:00,   281.44000000,   242.84904401,
01/23/18,19:00,   275.31000000,   246.02104001,
01/23/18,20:00,   273.70000000,   243.91916154,
01/23/18,21:00,   271.95000000,   242.13925444,
