TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
   37,     7.64849211,631271.76868416,   210.04034384,   190.00001008,
   38,    19.27395656,630681.22905565,   210.02916785,   165.00001006,
   39,     9.74453289,630139.46230046,   210.01891488,   165.00001004,
   40,    80.71716288,629708.29331661,   210.01075498,   165.00001002,
   41,   116.20554973,629423.75416318,   210.00537006,   190.00001001,
   42,   146.32640567,629554.31164700,   210.00784087,     0.00001002,
   43,   140.10317658,630069.88485900,   210.01759812,     0.00001004,
   44,   136.99267896,630568.65736281,   210.02703742,     0.00001005,
   45,    97.32334616,630990.42617179,   210.03501942,     0.00001007,
   46,    77.48945765,631305.08918248,   210.04097444,     0.00001008,
   47,    41.33812930,631518.97880283,   210.04502231,     0.00001009,
   48,    20.78762363,631630.80512162,   210.04713863,     0.00001009,
   49,    10.51185601,631687.14414865,   210.04820485,     0.00001010,
   50,     5.37273121,631715.73636929,   210.04874596,     0.00001010,
   51,     2.80095271,631730.44896380,   210.04902439,     0.00001010,
   52,     1.51168376,631738.21167322,   210.04917130,     0.00001010,
   53,     0.86294487,631742.48596855,   210.04925219,     0.00001010,
   54,     0.53423362,631745.00085364,   210.04929979,     0.00001010,
   55,     0.36558094,631449.62048346,   210.04370970,   165.00001009,
   56,     3.24714963,631159.12336231,   210.03821202,     0.00001008,
   57,     1.71423202,631168.05381285,   210.03838103,     0.00001008,
   58,     0.94453303,631172.83955351,   210.03847160,     0.00001008,
   59,     0.55690256,631175.54210139,   210.03852275,     0.00001008,
   60,    67.18593281,631000.47916886,   210.03520967,   165.00001007,
   61,   104.95387246,630716.33078195,   210.02983215,   165.00001006,
   62,    55.52653008,630411.19547034,   210.02405745,   165.00001005,
   63,    30.81174694,629972.60433265,   210.01575708,   165.00001003,
   64,    18.45343056,629764.28161608,   210.01181457,     0.00001002,
   65,     9.30344234,629517.24395124,   210.00713936,   165.00001001,
   66,     7.69778095,629250.84611717,   210.00209777,     0.00001000,
   67,     3.92441632,629271.76603643,   210.00249368,     0.00001000,
   68,    63.91228992,629393.87207147,   210.00480454,     0.00001001,
