TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  238,   209.84911596,630707.76608194,   210.02967006,   168.00001006,
  239,   255.40455798,630940.42265872,   210.03407310,   168.00001007,
  240,   205.41727899,631165.10192918,   210.03832517,   168.00001008,
  241,   253.18863949,631688.19254626,   210.04822469,     0.00001010,
  242,   126.59431975,632371.80183638,   210.06116203,     0.00001012,
  243,    63.29715987,632713.60646342,   210.06763071,     0.00001014,
  244,    31.64857994,632884.50875849,   210.07086504,     0.00001014,
  245,    15.82428997,632617.15988778,   210.06580545,   196.00001013,
  246,     7.91214498,631954.28543419,   210.05326051,   196.00001011,
  247,     7.91607249,631277.17618922,   210.04044618,   196.00001008,
  248,    95.53303625,630757.78454865,   210.03061666,   196.00001006,
  249,   139.34151812,630474.95871041,   210.02526417,   196.00001005,
  250,   234.01075906,630441.39277303,   210.02462893,   196.00001005,
  251,   208.58037953,630532.45678646,   210.02635232,   196.00001005,
  252,   195.86518977,630554.85877511,   210.02677628,   196.00001005,
  253,   189.50759488,630542.92975137,   210.02655053,   196.00001005,
  254,   113.56379744,630382.85822146,   210.02352116,   196.00001005,
  255,    75.59189872,630017.73843848,   210.01661125,   196.00001003,
  256,   129.37094936,629681.07152874,   210.01023981,   196.00001002,
  257,   229.02547468,629620.58505599,   210.00909510,   196.00001002,
  258,   206.08773734,629698.18880174,   210.01056375,   196.00001002,
  259,   267.38386867,629844.83765652,   210.01333909,   196.00001003,
  260,   298.03193434,630156.98606579,   210.01924652,   196.00001004,
  261,   167.82596717,630340.33025214,   210.02271632,   168.00001005,
  262,   172.51798358,630297.74932744,   210.02191047,   196.00001004,
  263,   177.83399179,630575.58284676,   210.02716849,     0.00001005,
  264,    92.87699590,631062.86258833,   210.03639028,     0.00001007,
  265,    46.43849795,631313.63044116,   210.04113608,     0.00001008,
  266,    23.21924897,631439.01434934,   210.04350898,     0.00001009,
  267,    11.60962449,631501.70628540,   210.04469543,     0.00001009,
  268,     5.80481224,631533.05223520,   210.04528865,     0.00001009,
  269,     2.90240612,631134.72519185,   210.03775029,   230.00001008,
  270,     3.92620306,630319.01665199,   210.02231296,   230.00001004,
  271,     5.92310153,629620.34536392,   210.00909056,   168.00001002,
  272,     7.91155077,629040.44770188,   209.99759105,   168.00001000,
  273,     8.90577538,628465.91885293,   209.98368869,   168.00000998,
  274,   227.69788769,628287.00541065,   209.97935937,   168.00000998,
  275,   264.32894385,628567.85367153,   209.98615529,   168.00000999,
  276,   428.17447192,629209.55978396,   210.00131642,   168.00001000,
  277,   510.09723596,630293.64882205,   210.02183287,   168.00001004,
  278,   551.05861798,631598.92932287,   210.04653538,   168.00001009,
  279,   571.53930899,633014.80555516,   210.07333092,   168.00001015,
  280,   581.77965450,634485.97965299,   210.10117297,   168.00001020,
  281,   586.89982725,635934.40268322,   210.12858446,   196.00001026,
  282,   530.55491362,637240.22117969,   210.15329715,   196.00001031,
  283,   356.85245681,638131.95440937,   210.17017325,   196.00001034,
  284,   270.00122841,638554.69100572,   210.17817356,   196.00001036,
  285,   226.57561420,638742.92928496,   210.18173598,   196.00001036,
  286,   132.09780710,638682.94140612,   210.18060071,   196.00001036,
  287,    66.04890355,638686.80544792,   210.18067384,     0.00001036,
  288,    33.02445178,638865.13745037,   210.18404878,     0.00001037,
  289,    16.51222589,638954.30343271,   210.18573625,     0.00001037,
  290,     8.25611294,638998.88640543,   210.18657998,     0.00001037,
  291,     4.12805647,639021.17787291,   210.18700185,     0.00001037,
  292,     2.06402824,639032.32358819,   210.18721279,     0.00001037,
  293,     1.03201412,639037.89642716,   210.18731825,     0.00001037,
  294,     0.51600706,638687.88282777,   210.18069422,   196.00001036,
  295,    19.06800353,638017.53400951,   210.16800784,   196.00001034,
  296,    28.34400176,637447.67558194,   210.15722323,   168.00001031,
  297,    19.12200088,636928.31434947,   210.14739429,   168.00001029,
  298,    87.27600044,636515.03071471,   210.13957287,   168.00001028,
  299,   121.35300022,636285.76287900,   210.13523397,   168.00001027,
  300,   211.15650011,636229.07994257,   210.13416124,   196.00001027,
  301,   197.15325006,636258.43745581,   210.13471683,   196.00001027,
  302,    98.57662503,636023.95119406,   210.13027917,   230.00001026,
  303,   217.09331251,635764.15704485,   210.12536255,   230.00001025,
  304,   362.48165626,635979.39195181,   210.12943588,   230.00001026,
  305,   435.17582813,636650.17538663,   210.14213050,   195.00001028,
  306,   454.19791406,637549.04808551,   210.15914171,   195.00001032,
  307,   390.94395703,638368.30341636,   210.17464617,   195.00001035,
  308,   286.55197852,638822.79606324,   210.18324747,   230.00001037,
  309,   178.91598926,638832.63836785,   210.18343373,   230.00001037,
  310,   125.09799463,638551.86350165,   210.17812005,   230.00001036,
  311,   170.95399731,638670.75704981,   210.18037012,     0.00001036,
  312,   298.32699866,639515.46280537,   210.19635622,     0.00001039,
  313,   289.24849933,640573.09866419,   210.21637204,     0.00001043,
  314,   211.94424966,641475.24557467,   210.23344522,     0.00001047,
  315,   105.97212483,642047.49501090,   210.24427508,     0.00001049,
  316,    71.79606242,642367.47771025,   210.25033077,     0.00001050,
  317,    54.70803121,642595.18504105,   210.25464014,     0.00001051,
  318,    46.16401560,642425.75468736,   210.25143366,   195.00001050,
  319,    41.39700780,641881.36449185,   210.24113105,   195.00001048,
  320,    39.01350390,641324.10337520,   210.23058485,   195.00001046,
  321,    37.82175195,640760.40679798,   210.21991686,   195.00001044,
  322,    37.22587598,640193.49249055,   210.20918797,   195.00001042,
  323,   109.69293799,639755.94631831,   210.20090739,   195.00001040,
  324,   218.69146899,639645.03821324,   210.19880844,   195.00001040,
  325,   273.19073450,639828.42614191,   210.20227907,   195.00001040,
  326,   300.44036725,640158.96208747,   210.20853448,   195.00001042,
  327,   241.30018362,640432.09504150,   210.21370354,   195.00001043,
  328,   357.26009181,640807.50349973,   210.22080817,   195.00001044,
  329,   415.24004591,641550.00371001,   210.23486002,   165.00001047,
  330,   356.61502295,642345.34279631,   210.24991186,   165.00001050,
  331,   181.27751148,642665.54932063,   210.25597179,   195.00001051,
  332,   400.01375574,643009.87356375,   210.26248814,   195.00001052,
  333,   436.61687787,643813.80866645,   210.27770266,   195.00001056,
  334,   454.91843893,644662.57219875,   210.29376556,   225.00001059,
  335,   478.91921947,645587.47994569,   210.31126949,   195.00001062,
  336,   330.53960973,646342.50579999,   210.32555840,   195.00001065,
  337,   256.34980487,646696.90670798,   210.33226546,   195.00001066,
  338,   146.48990243,647071.01814263,   210.33934554,     0.00001068,
  339,    74.23495122,647468.32284077,   210.34686455,     0.00001069,
  340,    38.10747561,647670.53917034,   210.35069151,     0.00001070,
  341,    20.04373780,647424.21131585,   210.34602974,   195.00001069,
  342,    11.01186890,646778.11136954,   210.33380226,   195.00001067,
  343,     6.49593445,646107.62537711,   210.32111327,   195.00001064,
  344,     4.23796723,645424.94636191,   210.30819353,   195.00001062,
  345,    20.43398361,644767.35583518,   210.29574860,   195.00001059,
  346,   319.59199181,644677.40255283,   210.29404623,   195.00001059,
  347,   396.40599590,645264.19889258,   210.30515138,   195.00001061,
  348,   507.57799795,646189.37004317,   210.32266030,   195.00001065,
  349,   417.63399898,646801.75159920,   210.33424965,   390.00001067,
  350,   208.81699949,646525.36335796,   210.32901899,   390.00001066,
  351,   292.01349974,646022.85821827,   210.31950905,   390.00001064,
  352,   333.61174987,646095.98362940,   210.32089295,   195.00001064,
  353,   330.65087494,646589.65631574,   210.33023574,   195.00001066,
  354,   401.93543747,647206.31163967,   210.34190597,   195.00001068,
  355,   364.81271873,647884.45828241,   210.35473994,   195.00001071,
  356,   419.01635937,648593.35058454,   210.36815576,   195.00001074,
  357,   446.11817968,649448.59271628,   210.38434127,   195.00001077,
  358,   459.66908984,650377.00976249,   210.40191162,   195.00001080,
  359,   539.20954492,651472.99126630,   210.42265313,   195.00001085,
  360,   506.21477246,653003.75499850,   210.45162292,     0.00001090,
  361,   393.19238623,654622.68784495,   210.48226131,     0.00001096,
  362,   336.68119312,655936.46024814,   210.50712453,     0.00001101,
  363,   308.42559656,657097.65242992,   210.52910016,     0.00001106,
  364,   294.29779828,658182.55450078,   210.54963199,     0.00001110,
  365,   287.23389914,658878.31151596,   210.56279923,   195.00001113,
  366,   234.69694957,659115.78700353,   210.56729347,   195.00001113,
  367,   135.66347478,659134.43572732,   210.56764640,   165.00001114,
  368,    71.29673739,658858.96406899,   210.56243308,   195.00001112,
  369,    35.64836870,658349.46521993,   210.55279079,   195.00001111,
  370,   101.47918435,657894.29477540,   210.54417666,   195.00001109,
  371,   214.58459217,657761.20953317,   210.54165802,   195.00001108,
  372,   343.90229609,658064.48589197,   210.54739754,   195.00001109,
  373,   408.56114804,658716.92005125,   210.55974489,   195.00001112,
  374,   368.12557402,659412.95611101,   210.57291741,   195.00001115,
  375,   275.14278701,659868.83912064,   210.58154502,   195.00001116,
  376,   301.41639351,660204.64560519,   210.58790018,   195.00001118,
  377,   387.31819675,660742.36782738,   210.59807661,   195.00001120,
  378,   357.50409838,661381.04791838,   210.61016366,   195.00001122,
  379,   197.06704919,661677.27594343,   210.61576979,   195.00001123,
  380,   116.84852459,661540.32393600,   210.61317797,   195.00001123,
  381,    76.73926230,661186.78191210,   210.60648717,   195.00001121,
  382,   129.44963115,660855.92187994,   210.60022562,   195.00001120,
  383,   228.56981557,660798.35684393,   210.59913620,   195.00001120,
  384,   350.89490779,661490.39330561,   210.61223303,     0.00001122,
  385,   387.80245389,662820.04851635,   210.63739683,     0.00001127,
  386,   193.90122695,663867.11510136,   210.65721262,     0.00001131,
  387,    96.95061347,664390.64837349,   210.66712052,     0.00001133,
  388,    48.47530674,664652.41498916,   210.67207447,     0.00001134,
  389,    24.23765337,664783.29827640,   210.67455144,     0.00001135,
  390,    12.11882668,664497.73989985,   210.66914724,   195.00001134,
  391,     9.52441334,663834.69769104,   210.65659912,   195.00001131,
  392,    23.07720667,663191.38056619,   210.64442431,   195.00001129,
  393,    29.85360334,662584.65598352,   210.63294201,   195.00001127,
  394,    14.92680167,662314.26067183,   210.62782477,     0.00001126,
  395,     7.46340083,662354.56299560,   210.62858749,     0.00001126,
  396,     3.73170042,662374.71413753,   210.62896885,     0.00001126,
  397,     1.86585021,662384.78968833,   210.62915953,     0.00001126,
  398,     0.93292510,662389.82744334,   210.62925487,     0.00001126,
  399,     0.46646255,662041.34630068,   210.62265985,   195.00001125,
  400,    18.54823128,661373.57270906,   210.61002219,   195.00001122,
  401,    27.58911564,660754.61989329,   210.59830848,   195.00001120,
  402,    32.10955782,660160.07746523,   210.58705673,   195.00001117,
  403,    34.36977891,659577.74023102,   210.57603596,   195.00001115,
  404,    17.18488945,658968.53859384,   210.56450679,   195.00001113,
  405,     8.59244473,658312.93775552,   210.55209950,   195.00001110,
  406,     4.29622236,657634.13731640,   210.53925317,   195.00001108,
  407,    20.46311118,657327.70407699,   210.53345390,     0.00001107,
  408,    10.23155559,657382.95443743,   210.53449952,     0.00001107,
  409,     5.11577780,657410.57959769,   210.53502232,     0.00001107,
  410,     2.55788890,657424.39215787,   210.53528373,     0.00001107,
  411,     1.27894445,657431.29841822,   210.53541443,     0.00001107,
  412,     0.63947222,657434.75152843,   210.53547978,     0.00001107,
  413,     0.31973611,657436.47806337,   210.53551245,     0.00001107,
  414,     0.15986806,657086.34131110,   210.52888610,   195.00001106,
  415,     0.07993403,656384.77291501,   210.51560887,   195.00001103,
  416,    18.35496701,655715.95569733,   210.50295147,   195.00001101,
  417,    27.49248351,655096.48106873,   210.49122788,   195.00001098,
  418,    13.74624175,654468.71073459,   210.47934729,   195.00001096,
  419,    97.95312088,653967.76954806,   210.46986695,   195.00001094,
  420,   140.05656044,653694.18693521,   210.46468938,   195.00001093,
  421,   161.10828022,653534.28360899,   210.46166320,   195.00001092,
  422,    98.86914011,653300.24292610,   210.45723397,   195.00001091,
  423,    67.74957005,652898.15656512,   210.44962446,   195.00001090,
  424,   343.24978503,652935.95536521,   210.45033981,   195.00001090,
  425,   480.99989251,653717.60474551,   210.46513257,   195.00001093,
  426,   477.10994626,654740.20241575,   210.48448528,   195.00001097,
  427,   402.39997313,655621.32023119,   210.50116049,   195.00001100,
  428,   292.27998656,656169.74411888,   210.51153944,   195.00001102,
  429,   237.21999328,656420.84404292,   210.51629152,   195.00001103,
  430,   282.45499664,656654.25898489,   210.52070891,   195.00001104,
  431,   232.30749832,656878.83143606,   210.52495896,   195.00001105,
  432,   134.46874916,657188.02864165,   210.53081053,     0.00001106,
  433,    67.23437458,657551.09422459,   210.53768157,     0.00001108,
