TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
   89,   364.37278308,631357.98374779,   210.04197547,   185.00001008,
   90,   492.18639154,632233.79022591,   210.05855016,   185.00001012,
   91,   482.59319577,633322.39344651,   210.07915203,   185.00001016,
   92,   551.29659788,634517.39503858,   210.10176751,   185.00001020,
   93,   512.14829894,635765.59581616,   210.12538978,   185.00001025,
   94,   492.57414947,636908.09618628,   210.14701166,   185.00001029,
   95,   482.78707474,637997.74635288,   210.16763335,   185.00001034,
   96,   404.39353737,638928.67141730,   210.18525116,   185.00001037,
   97,   365.19676868,639980.93393085,   210.20516529,     0.00001041,
   98,   326.59838434,641226.16516873,   210.22873136,     0.00001046,
   99,   233.79919217,642234.88076880,   210.24782136,     0.00001050,
  100,   187.39959609,642993.03854973,   210.26216954,     0.00001052,
  101,   127.69979804,643560.21742131,   210.27290343,     0.00001055,
  102,    97.34989902,643668.30683801,   210.27494903,   165.00001055,
  103,    54.67494951,643347.95152747,   210.26888629,   165.00001054,
  104,    33.33747476,642876.37385332,   210.25996166,   185.00001052,
  105,    18.66873738,642303.98499715,   210.24912916,   185.00001050,
  106,    25.33436869,641717.19055040,   210.23802405,   185.00001048,
  107,   175.66718434,641412.99330814,   210.23226710,   185.00001046,
  108,   177.33359217,641382.39466812,   210.23168801,   185.00001046,
  109,   251.66679609,641488.59532945,   210.23369787,   185.00001047,
  110,   141.83339804,641530.89564101,   210.23449840,   185.00001047,
  111,    86.91669902,641276.64577791,   210.22968671,   185.00001046,
  112,    50.45834951,640857.92082770,   210.22176232,   185.00001044,
  113,    31.22917476,640338.95833370,   210.21194092,   185.00001042,
  114,    21.61458738,639768.07706801,   210.20113696,   185.00001040,
  115,   100.30729369,639321.53641640,   210.19268615,   185.00001039,
  116,   139.65364684,639087.46607214,   210.18825636,   185.00001038,
  117,   232.82682342,639091.93088113,   210.18834086,   185.00001038,
  118,   279.41341171,639347.96326696,   210.19318628,   185.00001039,
  119,   302.70670586,640062.77944099,   210.20671422,     0.00001041,
  120,   314.35335293,641173.48750912,   210.22773443,     0.00001046,
  121,   159.17667646,642025.84152452,   210.24386528,     0.00001049,
  122,    81.58833823,642459.21851312,   210.25206697,     0.00001050,
  123,    42.79416912,642683.10698854,   210.25630407,     0.00001051,
  124,    23.39708456,642802.25120736,   210.25855888,     0.00001052,
  125,    13.69854228,642869.02329789,   210.25982255,     0.00001052,
  126,     8.84927114,642576.60932428,   210.25428859,   185.00001051,
  127,    20.42463557,641963.30231859,   210.24268172,   185.00001049,
  128,    12.21231778,641356.04879686,   210.23118942,   185.00001046,
  129,    22.10615889,640787.82201711,   210.22043569,   165.00001044,
  130,    90.55307945,640360.60860835,   210.21235065,   185.00001042,
  131,   208.27653972,640232.50188552,   210.20992623,   185.00001042,
  132,   267.13826986,640422.24850522,   210.21351719,   185.00001043,
  133,   149.56913493,640425.32179619,   210.21357536,   230.00001043,
  134,   121.78456747,640085.75842301,   210.20714910,   230.00001041,
  135,   122.89228373,639698.17671753,   210.19981409,   230.00001040,
  136,   173.44614187,639403.58584634,   210.19423894,   230.00001039,
  137,   198.72307093,639245.49039208,   210.19124698,   230.00001038,
  138,   211.36153547,639155.64264628,   210.18954661,   230.00001038,
  139,   217.68076773,639099.91875450,   210.18849203,   230.00001038,
  140,   220.84038387,639061.25678994,   210.18776035,   230.00001038,
  141,   222.42019193,639112.12578899,   210.18872305,   185.00001038,
  142,   218.21009597,639239.26026985,   210.19112907,   185.00001038,
  143,   198.60504798,639656.52749139,   210.19902588,     0.00001040,
  144,   141.30252399,640268.36108346,   210.21060487,     0.00001042,
  145,    82.65126200,640671.47786074,   210.21823387,     0.00001044,
  146,    53.32563100,640916.23623071,   210.22286594,     0.00001045,
  147,    38.66281550,641081.81539659,   210.22599953,     0.00001045,
  148,    33.83140775,641212.30496087,   210.22846906,     0.00001046,
  149,    33.91570387,641001.24972434,   210.22447482,   185.00001045,
  150,    33.95785194,640457.42208719,   210.21418286,   185.00001043,
  151,    32.97892597,639830.90824995,   210.20232605,   230.00001040,
  152,    18.48946298,639176.55131245,   210.18994230,   185.00001038,
