TIME,INFLOW (m3/s),OUTFLOW (m3/s),
  176,    77.00000000,    60.91127768,
  177,    77.00000000,    68.95563884,
  178,    77.00000000,    72.97781942,
  179,    77.00000000,    74.98890971,
  180,     4.00000000,    75.99445486,
  181,     4.00000000,    39.99722743,
  182,   224.00000000,    21.99861371,
  183,   214.00000000,   122.99930686,
  184,   306.00000000,   168.49965343,
  185,   306.00000000,   237.24982671,
  186,   159.00000000,   271.62491336,
  187,   306.00000000,   215.31245668,
  188,   306.00000000,   260.65622834,
  189,   306.00000000,   283.32811417,
  190,   159.00000000,   294.66405708,
  191,   150.00000000,   226.83202854,
  192,   141.00000000,   188.41601427,
  193,   141.00000000,   164.70800714,
  194,     4.00000000,   152.85400357,
  195,     4.00000000,    78.42700178,
  196,     4.00000000,    41.21350089,
  197,     4.00000000,    22.60675045,
  198,     4.00000000,    13.30337522,
  199,    43.00000000,     8.65168761,
  200,    43.00000000,    25.82584381,
  201,     4.00000000,    34.41292190,
  202,     4.00000000,    19.20646095,
  203,     4.00000000,    11.60323048,
  204,    49.00000000,     7.80161524,
  205,     4.00000000,    28.40080762,
  206,     4.00000000,    16.20040381,
  207,   337.00000000,    10.10020190,
  208,   337.00000000,   173.55010095,
  209,   631.00000000,   255.27505048,
  210,    43.00000000,   443.13752524,
  211,   190.00000000,   243.06876262,
  212,   337.00000000,   216.53438131,
  213,   631.00000000,   276.76719065,
  214,   190.00000000,   453.88359533,
  215,   141.00000000,   321.94179766,
  216,     4.00000000,   231.47089883,
  217,     4.00000000,   117.73544942,
  218,     4.00000000,    60.86772471,
  219,     4.00000000,    32.43386235,
  220,     4.00000000,    18.21693118,
  221,     4.00000000,    11.10846559,
  222,     4.00000000,     7.55423279,
  223,     4.00000000,     5.77711640,
  224,     4.00000000,     4.88855820,
  225,     4.00000000,     4.44427910,
  226,     4.00000000,     4.22213955,
  227,     4.00000000,     4.11106977,
  228,     4.00000000,     4.05553489,
  229,     4.00000000,     4.02776744,
  230,     4.00000000,     4.01388372,
  231,     4.00000000,     4.00694186,
  232,     4.00000000,     4.00347093,
  233,   314.00000000,     4.00173547,
  234,   162.00000000,   159.00086773,
  235,   309.00000000,   160.50043387,
  236,   309.00000000,   234.75021693,
  237,   162.00000000,   271.87510847,
  238,   309.00000000,   216.93755423,
  239,   162.00000000,   262.96877712,
  240,   309.00000000,   212.48438856,
  241,     4.00000000,   260.74219428,
  242,     4.00000000,   132.37109714,
  243,     4.00000000,    68.18554857,
  244,     4.00000000,    36.09277428,
