TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  137,   423.45956223,632233.66283392,   210.05854774,   165.00001012,
  138,   513.17803112,633622.61046533,   210.08483366,     0.00001017,
  139,   516.57876556,635179.17266273,   210.11429169,   165.00001023,
  140,   330.46713278,636109.85524301,   210.13190491,   165.00001026,
  141,   246.40231639,636437.22021455,   210.13810031,   230.00001028,
  142,   236.83740819,636596.05168199,   210.14110620,   165.00001028,
  143,   435.85095410,637509.89069690,   210.15840066,     0.00001032,
  144,   436.95622705,639080.94358569,   210.18813292,     0.00001038,
  145,   437.50886352,640654.98071128,   210.21792166,     0.00001044,
  146,   219.25443176,641837.15460526,   210.24029437,     0.00001048,
  147,   110.12721588,642430.04153315,   210.25151479,     0.00001050,
  148,    55.56360794,642728.28497821,   210.25715906,     0.00001051,
  149,    28.28180397,642879.20668164,   210.26001527,     0.00001052,
  150,    14.64090199,642956.46751448,   210.26147743,     0.00001052,
  151,    79.49820099,643125.91786200,   210.26468429,     0.00001053,
  152,    40.24910050,643044.46296664,   210.26314275,   165.00001053,
  153,    20.62455025,642560.03550030,   210.25397493,   165.00001051,
  154,    18.05452512,642035.65779797,   210.24405106,   165.00001049,
  155,   163.62251256,641768.67642809,   210.23899842,   165.00001048,
  156,   383.25950628,642456.06402417,   210.25200727,     0.00001050,
  157,   484.08700314,643081.28770343,   210.26383966,   520.00001053,
  158,   474.06125157,642933.95452400,   210.26105137,   520.00001052,
  159,   422.09537579,642675.03641535,   210.25615133,   520.00001051,
  160,   322.68593789,642782.64274217,   210.25818779,   165.00001052,
  161,   242.51171895,643205.99848677,   210.26619982,   165.00001053,
  162,   275.85110947,643545.05153986,   210.27261642,   165.00001055,
  163,   219.09430474,644138.95324742,   210.28385604,     0.00001057,
  164,   181.72490237,644563.42778217,   210.29188925,   165.00001058,
  165,   172.03120118,644606.18873030,   210.29269850,   165.00001059,
  166,   240.61085059,644754.94438559,   210.29551371,   165.00001059,
  167,   201.47417530,644839.69739424,   210.29711766,   230.00001059,
  168,   214.37333765,644760.22287937,   210.29561360,   230.00001059,
  169,   220.82291882,645129.57610270,   210.30260364,     0.00001061,
  170,   110.91145941,645726.69794551,   210.31390420,     0.00001063,
  171,    55.95572971,646027.05884782,   210.31958855,     0.00001064,
  172,    28.47786485,646179.03927966,   210.32246479,     0.00001064,
  173,    14.73893243,646256.82947627,   210.32393697,     0.00001065,
  174,     7.86946621,646297.52455569,   210.32470713,     0.00001065,
  175,     4.43473311,646319.67207609,   210.32512627,     0.00001065,
  176,     2.71736655,646035.54581720,   210.31974916,   165.00001064,
  177,     9.10093328,645462.81871859,   210.30891027,   165.00001062,
  178,    12.29271664,644907.32725006,   210.29839756,   165.00001060,
  179,   160.74160832,644921.78899666,   210.29867125,     0.00001060,
  180,   299.40155416,645750.04665095,   210.31434608,     0.00001063,
  181,   368.73152708,646655.68615891,   210.33148536,   165.00001066,
  182,   265.53451354,647203.36499373,   210.34185021,   165.00001068,
  183,   140.50950677,647340.24419185,   210.34444065,   165.00001069,
  184,   298.27650338,647536.05897170,   210.34814646,   165.00001070,
  185,   377.16000169,648157.84464222,   210.35991379,   165.00001072,
  186,   343.17525085,649157.44805814,   210.37883134,     0.00001076,
  187,   390.61837542,650478.27654664,   210.40382810,     0.00001081,
  188,   340.91343771,651498.03377124,   210.42312706,   165.00001085,
  189,   251.62546886,651970.60376402,   210.43207047,   165.00001086,
  190,   133.55498443,652069.92854091,   210.43395020,   165.00001087,
  191,   147.94624221,651982.63070985,   210.43229808,   165.00001086,
  192,   228.56837111,652066.35697490,   210.43388261,   165.00001087,
  193,   268.87943555,652664.76298772,   210.44520748,     0.00001089,
  194,   206.61746778,653520.65737440,   210.46140533,     0.00001092,
  195,   103.80873389,654079.42449819,   210.47198002,     0.00001094,
  196,    52.40436694,654360.60804035,   210.47730144,     0.00001095,
  197,    26.70218347,654205.99979168,   210.47437547,   165.00001095,
  198,    21.09334174,653698.03169776,   210.46476214,   165.00001093,
