TIME,INFLOW (m3/s),OUTFLOW (m3/s),
  176,    74.00000000,    57.91127768,
  177,    74.00000000,    65.95563884,
  178,    74.00000000,    69.97781942,
  179,    74.00000000,    71.98890971,
  180,     1.00000000,    72.99445486,
  181,     1.00000000,    36.99722743,
  182,   221.00000000,    18.99861371,
  183,   211.00000000,   119.99930686,
  184,   303.00000000,   165.49965343,
  185,   303.00000000,   234.24982671,
  186,   156.00000000,   268.62491336,
  187,   303.00000000,   212.31245668,
  188,   303.00000000,   257.65622834,
  189,   303.00000000,   280.32811417,
  190,   156.00000000,   291.66405708,
  191,   147.00000000,   223.83202854,
  192,   138.00000000,   185.41601427,
  193,   138.00000000,   161.70800714,
  194,     1.00000000,   149.85400357,
  195,     1.00000000,    75.42700178,
  196,     1.00000000,    38.21350089,
  197,     1.00000000,    19.60675045,
  198,     1.00000000,    10.30337522,
  199,    40.00000000,     5.65168761,
  200,    40.00000000,    22.82584381,
  201,     1.00000000,    31.41292190,
  202,     1.00000000,    16.20646095,
  203,     1.00000000,     8.60323048,
  204,    46.00000000,     4.80161524,
  205,     1.00000000,    25.40080762,
  206,     1.00000000,    13.20040381,
  207,   334.00000000,     7.10020190,
  208,   334.00000000,   170.55010095,
  209,   628.00000000,   252.27505048,
  210,    40.00000000,   440.13752524,
  211,   187.00000000,   240.06876262,
  212,   334.00000000,   213.53438131,
  213,   628.00000000,   273.76719065,
  214,   187.00000000,   450.88359533,
  215,   138.00000000,   318.94179766,
  216,     1.00000000,   228.47089883,
  217,     1.00000000,   114.73544942,
  218,     1.00000000,    57.86772471,
  219,     1.00000000,    29.43386235,
  220,     1.00000000,    15.21693118,
  221,     1.00000000,     8.10846559,
  222,     1.00000000,     4.55423279,
  223,     1.00000000,     2.77711640,
  224,     1.00000000,     1.88855820,
  225,     1.00000000,     1.44427910,
  226,     1.00000000,     1.22213955,
  227,     1.00000000,     1.11106977,
  228,     1.00000000,     1.05553489,
  229,     1.00000000,     1.02776744,
  230,     1.00000000,     1.01388372,
  231,     1.00000000,     1.00694186,
  232,     1.00000000,     1.00347093,
  233,   311.00000000,     1.00173547,
  234,   159.00000000,   156.00086773,
  235,   306.00000000,   157.50043387,
  236,   306.00000000,   231.75021693,
  237,   159.00000000,   268.87510847,
  238,   306.00000000,   213.93755423,
  239,   159.00000000,   259.96877712,
  240,   306.00000000,   209.48438856,
  241,     1.00000000,   257.74219428,
  242,     1.00000000,   129.37109714,
  243,     1.00000000,    65.18554857,
  244,     1.00000000,    33.09277428,
  245,     1.00000000,    17.04638714,
  246,    10.00000000,     9.02319357,
  247,   187.00000000,     9.51159679,
  248,   187.00000000,    98.25579839,
  249,   334.00000000,   142.62789920,
  250,   187.00000000,   238.31394960,
  251,   187.00000000,   212.65697480,
  252,   187.00000000,   199.82848740,
  253,    40.00000000,   193.41424370,
  254,    40.00000000,   116.70712185,
  255,   187.00000000,    78.35356092,
  256,   334.00000000,   132.67678046,
  257,   187.00000000,   233.33839023,
  258,   334.00000000,   210.16919512,
  259,   334.00000000,   272.08459756,
  260,    40.00000000,   303.04229878,
  261,   181.00000000,   171.52114939,
  262,   187.00000000,   176.26057469,
  263,    10.00000000,   181.63028735,
  264,     1.00000000,    95.81514367,
  265,     1.00000000,    48.40757184,
  266,     1.00000000,    24.70378592,
  267,     1.00000000,    12.85189296,
  268,     1.00000000,     6.92594648,
  269,     7.00000000,     3.96297324,
  270,    10.00000000,     5.48148662,
  271,    12.00000000,     7.74074331,
  272,    12.00000000,     9.87037165,
  273,   453.00000000,    10.93518583,
  274,   306.00000000,   231.96759291,
  275,   600.00000000,   268.98379646,
  276,   600.00000000,   434.49189823,
  277,   600.00000000,   517.24594911,
  278,   600.00000000,   558.62297456,
  279,   600.00000000,   579.31148728,
  280,   600.00000000,   589.65574364,
  281,   481.00000000,   594.82787182,
  282,   187.00000000,   537.91393591,
  283,   187.00000000,   362.45696795,
  284,   187.00000000,   274.72848398,
  285,    40.00000000,   230.86424199,
  286,     1.00000000,   135.43212099,
  287,     1.00000000,    68.21606050,
  288,     1.00000000,    34.60803025,
  289,     1.00000000,    17.80401512,
  290,     1.00000000,     9.40200756,
  291,     1.00000000,     5.20100378,
  292,     1.00000000,     3.10050189,
  293,     1.00000000,     2.05025095,
  294,    40.00000000,     1.52512547,
  295,    40.00000000,    20.76256274,
  296,    12.00000000,    30.38128137,
  297,   159.00000000,    21.19064068,
  298,   159.00000000,    90.09532034,
  299,   306.00000000,   124.54766017,
  300,   187.00000000,   215.27383009,
  301,     1.00000000,   201.13691504,
  302,   341.00000000,   101.06845752,
  303,   515.00000000,   221.03422876,
  304,   515.00000000,   368.01711438,
  305,   480.00000000,   441.50855719,
  306,   333.00000000,   460.75427860,
  307,   186.00000000,   396.87713930,
  308,    74.00000000,   291.43856965,
  309,    74.00000000,   182.71928482,
  310,   221.00000000,   128.35964241,
  311,   432.00000000,   174.67982121,
  312,   285.00000000,   303.33991060,
  313,   138.00000000,   294.16995530,
  314,     1.00000000,   216.08497765,
  315,    40.00000000,   108.54248883,
  316,    40.00000000,    74.27124441,
  317,    40.00000000,    57.13562221,
  318,    39.00000000,    48.56781110,
  319,    39.00000000,    43.78390555,
  320,    39.00000000,    41.39195278,
  321,    39.00000000,    40.19597639,
  322,   186.00000000,    39.59798819,
  323,   333.00000000,   112.79899410,
  324,   333.00000000,   222.89949705,
  325,   333.00000000,   277.94974852,
  326,   186.00000000,   305.47487426,
  327,   480.00000000,   245.73743713,
  328,   480.00000000,   362.86871857,
  329,   303.00000000,   421.43435928,
  330,     8.00000000,   362.21717964,
  331,   627.00000000,   185.10858982,
  332,   480.00000000,   406.05429491,
  333,   480.00000000,   443.02714746,
  334,   510.00000000,   461.51357373,
  335,   186.00000000,   485.75678686,
  336,   186.00000000,   335.87839343,
  337,    39.00000000,   260.93919672,
  338,     4.00000000,   149.96959836,
  339,     4.00000000,    76.98479918,
  340,     4.00000000,    40.49239959,
  341,     4.00000000,    22.24619979,
  342,     4.00000000,    13.12309990,
  343,     4.00000000,     8.56154995,
  344,    39.00000000,     6.28077497,
  345,   627.00000000,    22.64038749,
  346,   480.00000000,   324.82019374,
  347,   627.00000000,   402.41009687,
  348,   333.00000000,   514.70504844,
  349,     1.00000000,   423.85252422,
  350,   381.00000000,   212.42626211,
  351,   381.00000000,   296.71313105,
  352,   333.00000000,   338.85656553,
  353,   480.00000000,   335.92828276,
  354,   333.00000000,   407.96414138,
  355,   480.00000000,   370.48207069,
  356,   480.00000000,   425.24103535,
  357,   480.00000000,   452.62051767,
  358,   627.00000000,   466.31025884,
  359,   480.00000000,   546.65512942,
  360,   285.00000000,   513.32756471,
  361,   285.00000000,   399.16378235,
  362,   285.00000000,   342.08189118,
  363,   285.00000000,   313.54094559,
  364,   285.00000000,   299.27047279,
  365,   186.00000000,   292.13523640,
  366,    39.00000000,   239.06761820,
  367,     9.00000000,   139.03380910,
  368,     1.00000000,    74.01690455,
  369,   171.00000000,    37.50845227,
  370,   333.00000000,   104.25422614,
  371,   480.00000000,   218.62711307,
  372,   480.00000000,   349.31355653,
  373,   333.00000000,   414.65677827,
  374,   186.00000000,   373.82838913,
  375,   333.00000000,   279.91419457,
  376,   480.00000000,   306.45709728,
  377,   333.00000000,   393.22854864,
  378,    39.00000000,   363.11427432,
  379,    39.00000000,   201.05713716,
  380,    39.00000000,   120.02856858,
  381,   186.00000000,    79.51428429,
  382,   333.00000000,   132.75714215,
  383,   480.00000000,   232.87857107,
  384,   431.00000000,   356.43928554,
  385,     1.00000000,   393.71964277,
  386,     1.00000000,   197.35982138,
  387,     1.00000000,    99.17991069,
  388,     1.00000000,    50.08995535,
  389,     1.00000000,    25.54497767,
  390,     9.00000000,    13.27248884,
  391,    39.00000000,    11.13624442,
  392,    39.00000000,    25.06812221,
  393,     1.00000000,    32.03406110,
  394,     1.00000000,    16.51703055,
  395,     1.00000000,     8.75851528,
  396,     1.00000000,     4.87925764,
  397,     1.00000000,     2.93962882,
  398,     1.00000000,     1.96981441,
  399,    39.00000000,     1.48490720,
  400,    39.00000000,    20.24245360,
  401,    39.00000000,    29.62122680,
  402,    39.00000000,    34.31061340,
  403,     1.00000000,    36.65530670,
  404,     1.00000000,    18.82765335,
  405,     1.00000000,     9.91382668,
  406,    39.00000000,     5.45691334,
  407,     1.00000000,    22.22845667,
  408,     1.00000000,    11.61422833,
  409,     1.00000000,     6.30711417,
  410,     1.00000000,     3.65355708,
  411,     1.00000000,     2.32677854,
  412,     1.00000000,     1.66338927,
  413,     1.00000000,     1.33169464,
  414,     1.00000000,     1.16584732,
  415,    39.00000000,     1.08292366,
  416,    39.00000000,    20.04146183,
  417,     1.00000000,    29.52073091,
  418,   186.00000000,    15.26036546,
  419,   186.00000000,   100.63018273,
  420,   186.00000000,   143.31509136,
  421,    39.00000000,   164.65754568,
  422,    39.00000000,   101.82877284,
  423,   627.00000000,    70.41438642,
  424,   627.00000000,   348.70719321,
  425,   480.00000000,   487.85359661,
  426,   333.00000000,   483.92679830,
  427,   186.00000000,   408.46339915,
  428,   186.00000000,   297.23169958,
  429,   333.00000000,   241.61584979,
  430,   186.00000000,   287.30792489,
  431,    39.00000000,   236.65396245,
  432,     1.00000000,   137.82698122,
  433,     1.00000000,    69.41349061,
  434,     1.00000000,    35.20674531,
  435,     1.00000000,    18.10337265,
  436,     1.00000000,     9.55168633,
  437,     1.00000000,     5.27584316,
  438,     1.00000000,     3.13792158,
  439,    39.00000000,     2.06896079,
  440,    39.00000000,    20.53448040,
  441,   116.00000000,    29.76724020,
  442,   186.00000000,    72.88362010,
  443,   186.00000000,   129.44181005,
  444,    39.00000000,   157.72090502,
  445,    39.00000000,    98.36045251,
  446,    39.00000000,    68.68022626,
  447,   480.00000000,    53.84011313,
  448,   480.00000000,   266.92005656,
  449,   333.00000000,   373.46002828,
  450,    39.00000000,   353.23001414,
  451,    39.00000000,   196.11500707,
  452,    39.00000000,   117.55750354,
  453,    39.00000000,    78.27875177,
  454,    39.00000000,    58.63937588,
  455,    39.00000000,    48.81968794,
  456,     1.00000000,    43.90984397,
  457,     1.00000000,    22.45492199,
  458,    19.00000000,    11.72746099,
  459,     0.00000000,    15.36373050,
  460,     0.00000000,     7.68186525,
  461,     0.00000000,     3.84093262,
  462,     0.00000000,     1.92046631,
  463,     0.00000000,     0.96023316,
  464,     9.00000000,     0.48011658,
  465,   303.00000000,     4.74005829,
