TIME,PRECIP(mm),LOSS(mm),EXCESS(mm),DIRECT FLOW(m3/s),BASE FLOW(m3/s),TOTAL FLOW(m3/s),
   59,     0.00500000,     0.00475000,     0.00025000,     0.08780884,     0.00000000,     0.08780884,
   60,     0.00500000,     0.00475000,     0.00025000,     0.08514518,     0.00000000,     0.08514518,
   61,     0.00500000,     0.00475000,     0.00025000,     0.08302562,     0.00000000,     0.08302562,
   62,     0.00500000,     0.00475000,     0.00025000,     0.08130973,     0.00000000,     0.08130973,
   63,     0.00500000,     0.00475000,     0.00025000,     0.07989582,     0.00000000,     0.07989582,
   64,     0.00500000,     0.00475000,     0.00025000,     0.07872645,     0.00000000,     0.07872645,
   65,     0.00500000,     0.00475000,     0.00025000,     0.07772676,     0.00000000,     0.07772676,
   66,     0.00500000,     0.00475000,     0.00025000,     0.07689327,     0.00000000,     0.07689327,
   67,     0.00500000,     0.00475000,     0.00025000,     0.07620956,     0.00000000,     0.07620956,
   68,     0.00500000,     0.00475000,     0.00025000,     0.07564566,     0.00000000,     0.07564566,
   69,     0.00500000,     0.00475000,     0.00025000,     0.07518161,     0.00000000,     0.07518161,
   70,     0.00500000,     0.00475000,     0.00025000,     0.07479495,     0.00000000,     0.07479495,
   71,     0.00500000,     0.00475000,     0.00025000,     0.07447918,     0.00000000,     0.07447918,
   72,     0.00250000,     0.00237500,     0.00012500,     0.07408217,     0.00000000,     0.07408217,
   73,     0.00250000,     0.00237500,     0.00012500,     0.07344389,     0.00000000,     0.07344389,
   74,     0.00250000,     0.00237500,     0.00012500,     0.07245161,     0.00000000,     0.07245161,
   75,     0.00250000,     0.00237500,     0.00012500,     0.07094415,     0.00000000,     0.07094415,
   76,     0.00250000,     0.00237500,     0.00012500,     0.06877316,     0.00000000,     0.06877316,
   77,     0.00250000,     0.00237500,     0.00012500,     0.06601511,     0.00000000,     0.06601511,
   78,     0.00250000,     0.00237500,     0.00012500,     0.06289681,     0.00000000,     0.06289681,
   79,     0.00250000,     0.00237500,     0.00012500,     0.05963275,     0.00000000,     0.05963275,
   80,     0.00250000,     0.00237500,     0.00012500,     0.05638018,     0.00000000,     0.05638018,
   81,     0.00250000,     0.00237500,     0.00012500,     0.05329832,     0.00000000,     0.05329832,
   82,     0.00250000,     0.00237500,     0.00012500,     0.05047965,     0.00000000,     0.05047965,
   83,     0.00250000,     0.00237500,     0.00012500,     0.04797521,     0.00000000,     0.04797521,
   84,     0.00250000,     0.00237500,     0.00012500,     0.04587389,     0.00000000,     0.04587389,
   85,     0.00250000,     0.00237500,     0.00012500,     0.04420216,     0.00000000,     0.04420216,
   86,     0.00250000,     0.00237500,     0.00012500,     0.04285148,     0.00000000,     0.04285148,
   87,     0.00250000,     0.00237500,     0.00012500,     0.04174407,     0.00000000,     0.04174407,
   88,     0.00250000,     0.00237500,     0.00012500,     0.04083643,     0.00000000,     0.04083643,
   89,     0.00250000,     0.00237500,     0.00012500,     0.04007183,     0.00000000,     0.04007183,
   90,     0.00250000,     0.00237500,     0.00012500,     0.03944040,     0.00000000,     0.03944040,
   91,     0.00250000,     0.00237500,     0.00012500,     0.03892244,     0.00000000,     0.03892244,
   92,     0.00250000,     0.00237500,     0.00012500,     0.03849524,     0.00000000,     0.03849524,
   93,     0.00250000,     0.00237500,     0.00012500,     0.03814369,     0.00000000,     0.03814369,
   94,     0.00250000,     0.00237500,     0.00012500,     0.03785076,     0.00000000,     0.03785076,
   95,     0.00250000,     0.00237500,     0.00012500,     0.03761154,     0.00000000,     0.03761154,
   96,     0.00000000,     0.00000000,     0.00000000,     0.03727777,     0.00000000,     0.03727777,
   97,     0.00000000,     0.00000000,     0.00000000,     0.03669154,     0.00000000,     0.03669154,
   98,     0.00000000,     0.00000000,     0.00000000,     0.03574222,     0.00000000,     0.03574222,
   99,     0.00000000,     0.00000000,     0.00000000,     0.03427059,     0.00000000,     0.03427059,
  100,     0.00000000,     0.00000000,     0.00000000,     0.03212895,     0.00000000,     0.03212895,
  101,     0.00000000,     0.00000000,     0.00000000,     0.02939540,     0.00000000,     0.02939540,
  102,     0.00000000,     0.00000000,     0.00000000,     0.02629726,     0.00000000,     0.02629726,
