TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
   34,    30.08302523,633506.62430277,   210.08263861,   190.00001017,
   35,    17.08736349,632907.53096595,   210.07130074,   190.00001014,
   36,     9.09231393,632270.65434895,   210.05924781,   190.00001012,
   37,    10.09682334,631621.19475947,   210.04695675,   190.00001009,
   38,    22.10076692,631040.15038562,   210.03596045,   165.00001007,
   39,    11.60416077,630506.81921940,   210.02586713,   165.00001005,
   40,    83.85702860,630084.64932404,   210.01787754,   165.00001004,
   41,   119.98449845,629812.56403656,   210.01272831,   190.00001003,
   42,   150.54906463,629957.52441416,   210.01547170,     0.00001003,
   43,   144.33201919,630488.31032882,   210.02551685,     0.00001005,
   44,   141.22405493,631002.31122611,   210.03524435,     0.00001007,
   45,   101.17053080,631438.62144416,   210.04350154,     0.00001009,
   46,    81.14415769,631766.78784731,   210.04971211,     0.00001010,
   47,    44.63127908,631993.18359721,   210.05399666,     0.00001011,
   48,    22.87491903,632114.69471744,   210.05629627,     0.00001011,
   49,    11.99648162,632177.46320203,   210.05748416,     0.00001011,
   50,     6.55664241,632210.85878866,   210.05811618,     0.00001012,
   51,     3.83561476,632229.56481517,   210.05847019,     0.00001012,
   52,     2.47341108,632240.92102507,   210.05868511,     0.00001012,
   53,     1.79025704,632248.59559110,   210.05883035,     0.00001012,
   54,     1.44650911,632254.42173360,   210.05894061,     0.00001012,
   55,     1.27248662,631962.31588958,   210.05341249,   165.00001011,
   56,     5.18342289,631676.93649018,   210.04801167,     0.00001010,
   57,     3.13704005,631691.91328700,   210.04829510,     0.00001010,
   58,     2.11222853,631701.36193431,   210.04847392,     0.00001010,
   59,     1.59843229,631708.04108751,   210.04860032,     0.00001010,
   60,    69.84045691,631539.63105171,   210.04541315,   165.00001009,
   61,   108.46068148,631266.57306436,   210.04024552,   165.00001008,
   62,    58.77013766,630973.58850248,   210.03470077,   165.00001007,
   63,    33.92430978,630546.43847154,   210.02661693,   165.00001005,
   64,    21.50093343,630349.20387314,   210.02288425,     0.00001005,
   65,    11.28883025,630111.22541173,   210.01838050,   165.00001004,
   66,    10.18244501,629852.87367128,   210.01349117,     0.00001003,
   67,     5.62898543,629881.33421004,   210.01402979,     0.00001003,
   68,    66.85203360,630011.80000823,   210.01649886,     0.00001003,
   69,   102.46337558,630019.56770871,   210.01664587,   165.00001003,
   70,   202.76889193,629974.98575395,   210.01580215,   165.00001003,
   71,   252.92152767,630498.22847317,   210.02570455,     0.00001005,
   72,   195.49760641,631305.38287815,   210.04097999,     0.00001008,
   73,   166.78520601,631957.49190434,   210.05332119,     0.00001011,
   74,   152.42833267,632532.07623742,   210.06419524,     0.00001013,
   75,    76.74888468,632944.59519199,   210.07200218,     0.00001014,
   76,    38.90774343,633152.77708615,   210.07594203,     0.00001015,
   77,    19.98550024,633258.78488806,   210.07794824,     0.00001016,
   78,    10.52263938,633313.69950288,   210.07898750,     0.00001016,
   79,     5.78950404,633010.06132439,   210.07324113,   185.00001015,
   80,    60.92131582,632464.14076353,   210.06290955,   185.00001013,
   81,    35.48576615,631971.67347480,   210.05358958,   185.00001011,
   82,    22.76671356,631410.52790195,   210.04296987,   185.00001009,
   83,    25.90609217,631165.13891588,   210.03832587,     0.00001008,
   84,    44.97493237,631292.72472368,   210.04074044,     0.00001008,
   85,    55.00873140,631139.69528204,   210.03784435,   185.00001008,
   86,    42.02511610,630648.35617119,   210.02854573,   185.00001006,
   87,    35.53287638,630121.96052157,   210.01858366,   185.00001004,
   88,   252.78640258,629974.93518764,   210.01580120,   185.00001003,
   89,   361.41285491,630414.49381486,   210.02411987,   185.00001005,
   90,   489.22583194,631279.64341481,   210.04049287,   185.00001008,
   91,   479.63211821,632357.58768871,   210.06089303,   185.00001012,
   92,   548.33509313,633541.92863247,   210.08330675,   185.00001017,
   93,   509.18644263,634779.46736014,   210.10672724,   185.00001021,
   94,   489.61200024,635911.30452035,   210.12814732,   185.00001026,
   95,   479.82468628,636990.29051917,   210.14856719,   185.00001030,
   96,   401.43081514,637910.55038455,   210.16598316,   185.00001033,
   97,   362.23346022,638952.14604294,   210.18569542,     0.00001037,
   98,   323.63412656,640186.70766194,   210.20905957,     0.00001042,
   99,   230.83346276,641184.74928505,   210.22794756,     0.00001046,
  100,   184.43172503,641932.22658522,   210.24209361,     0.00001048,
  101,   124.72919344,642488.71620071,   210.25262521,     0.00001051,
  102,    94.37619628,642586.10586422,   210.25446832,   165.00001051,
  103,    51.69799923,642255.03937814,   210.24820286,   165.00001050,
  104,    30.35728563,641772.73885312,   210.23907530,   185.00001048,
  105,    15.68547772,641189.61578961,   210.22803966,   185.00001046,
  106,    22.34830022,640592.07655216,   210.21673120,   185.00001043,
  107,   172.67861985,640277.12497053,   210.21077072,   185.00001042,
  108,   174.34293331,640235.76372867,   210.20998796,   185.00001042,
  109,   248.67447100,640331.19501910,   210.21179400,   185.00001042,
  110,   138.83972652,640362.72053700,   210.21239062,   185.00001042,
  111,    83.92192311,640097.69146896,   210.20737493,   185.00001041,
  112,    47.46266778,639668.18369518,   210.19924647,   185.00001040,
  113,    28.23272903,639138.43537183,   210.18922096,   185.00001038,
  114,    18.61751022,638556.76576519,   210.17821283,   185.00001036,
  115,    97.30969857,638099.43470388,   210.16955781,   185.00001034,
  116,   136.65562453,637854.57224832,   210.16492377,   185.00001033,
  117,   229.82844956,637848.24354439,   210.16480400,   185.00001033,
  118,   276.41474492,638093.48125730,   210.16944514,   185.00001034,
  119,   299.70779984,638797.50180054,   210.18276877,     0.00001037,
  120,   311.35424930,639897.41345167,   210.20358466,     0.00001041,
  121,   156.17741020,640738.97040119,   210.21951117,     0.00001044,
  122,    78.58893770,641161.54978963,   210.22750851,     0.00001046,
  123,    39.79465663,641374.64022199,   210.23154126,     0.00001046,
  124,    20.39748036,641482.98603083,   210.23359171,     0.00001047,
  125,    10.69886149,641538.95940839,   210.23465101,     0.00001047,
  126,     5.84952738,641235.74647075,   210.22891269,   185.00001046,
  127,    17.42484018,640611.64029461,   210.21710144,   185.00001043,
  128,     9.21247947,639993.58743249,   210.20540476,   185.00001041,
  129,    19.10628522,639414.56117159,   210.19444665,   165.00001039,
  130,    87.55317495,638976.54816238,   210.18615723,   185.00001037,
  131,   205.27660894,638837.64173609,   210.18352842,   185.00001037,
  132,   264.13831733,639016.58856608,   210.18691500,   185.00001037,
  133,   146.56916519,639008.86199738,   210.18676877,   230.00001037,
  134,   118.78458449,638658.49870960,   210.18013813,   230.00001036,
  135,   119.89229130,638260.11704876,   210.17259873,   230.00001035,
  136,   170.44614376,637954.72619473,   210.16681919,   230.00001033,
  137,   195.72307093,637785.83074390,   210.16362284,   230.00001033,
  138,   208.36153547,637685.18299810,   210.16171807,   230.00001032,
  139,   214.68076773,637618.65910675,   210.16045910,   230.00001032,
  140,   217.84038387,637569.19714262,   210.15952303,   230.00001032,
  141,   219.42019193,637609.26614210,   210.16028134,   185.00001032,
  142,   215.21009597,637725.60062296,   210.16248298,   185.00001032,
  143,   195.60504798,638132.06784493,   210.17017539,     0.00001034,
  144,   138.30252399,638733.10143725,   210.18154999,     0.00001036,
  145,    79.65126200,639125.41821453,   210.18897461,     0.00001038,
  146,    50.32563100,639359.37658450,   210.19340228,     0.00001039,
  147,    35.66281550,639514.15575081,   210.19633149,     0.00001039,
  148,    30.83140775,639633.84531509,   210.19859662,     0.00001040,
  149,    30.91570387,639411.99007856,   210.19439800,   185.00001039,
  150,    30.95785194,638857.36244179,   210.18390164,   185.00001037,
  151,    29.97892597,638220.04860455,   210.17184044,   230.00001034,
  152,    15.48946298,637554.89166747,   210.15925230,   185.00001032,
  153,     8.24473149,636931.61318027,   210.14745672,   185.00001029,
  154,   135.62236575,636524.57391821,   210.13975348,   185.00001028,
  155,   155.81118287,636302.15426866,   210.13554418,   230.00001027,
  156,   246.90559144,636280.04442536,   210.13512575,   185.00001027,
